,K_opt,sigma_min_Hu,tracking_error,slack_inf,solve_time_ms
K_opt,,,,,
sigma_min_Hu,,1.0,-0.12497274208162897,-0.0311223814316792,0.06952423873707242
tracking_error,,-0.12497274208162897,1.0,0.22887378236194927,-0.24074388359408
slack_inf,,-0.0311223814316792,0.22887378236194927,1.0,0.21786364434746655
solve_time_ms,,0.06952423873707242,-0.24074388359408,0.21786364434746655,1.0
