,K_opt,sigma_min_Hu,tracking_error,slack_inf,solve_time_ms
K_opt,,,,,
sigma_min_Hu,,1.0,-0.08013762586016163,-0.08345002156263477,0.05992593703710648
tracking_error,,-0.08013762586016163,1.0,0.49142613391333695,-0.22536778354864717
slack_inf,,-0.08345002156263477,0.49142613391333695,1.0,0.3003661897886862
solve_time_ms,,0.05992593703710648,-0.22536778354864717,0.3003661897886862,1.0
