,K_opt,sigma_min_Hu,tracking_error,slack_inf,solve_time_ms
K_opt,,,,,
sigma_min_Hu,,1.0,0.009240332831629509,-0.008111648205451887,0.024054677571964247
tracking_error,,0.009240332831629509,1.0,0.2772902071965918,-0.2707660271703586
slack_inf,,-0.008111648205451887,0.2772902071965918,1.0,0.30260219581784786
solve_time_ms,,0.024054677571964247,-0.2707660271703586,0.30260219581784786,1.0
