mode,seed,K,rho,measurement_noise_std,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,40,0.1,0.005,600,40.43333333333333,112.47888888888896,2.4197051374223386e-05,8271.5946457376,3.282791551944403,2.740192811206464,0.023288855487933146,20147808.783751044,4.2847712191313205e-05,0.0,0.08788446064645469,0.1162781617904094,0.18933254054304896,0.06051640107348176,0,164.0616975352338,367.5835593939097,1.4169637415422636,0.2816666666666667,0.2397279370382206,4.942663054134713e-05,6.247798884023202e-05,142.9826616651068,85789.59699906409,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.1,0.005,600,43.03333333333333,779.4655555555556,4.5389564460447965e-07,146312.3485740528,3.2066752685791804,0.032581383586920865,0.01065201377663945,20052522.986674465,1.5030300935972534e-05,0.0,0.051715937510725764,0.09757490913110146,0.1845795350613701,0.034202278417269055,0,168.76900972501323,397.6553591602732,1.414238030152002,0.28833333333333333,0.10901719758958812,2.6084407254018208e-05,3.375680570381828e-05,155.1741193329993,93104.47159979958,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.1,0.005,600,40.86666666666667,224.58222222222213,0.0001299147690435469,7525.670068223576,3.2679698348183104,2.7494858183910305,0.019833678304349654,20153468.898605004,6.443401776368995e-05,0.0016666666666666668,0.06050213390505732,0.10739862538928506,0.1965072841060796,0.018889070760990025,0,162.97204414561733,386.91812590825987,1.4148363068398793,0.2866666666666667,0.13671845449813272,3.1547817852866595e-05,4.028264185956478e-05,144.87185600106992,86923.11360064195,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.1,0.005,600,41.3,336.31,1.928124564348144e-05,13475.919614832968,3.1518857601335917,1.980216161301275,0.017070449043890587,20057703.932982177,8.118597233338762e-06,0.0,0.054545907493979445,0.08418595466208578,0.2005980452050341,0.02391418635221831,0,166.5378905860788,395.6946400933486,1.414198243571014,0.2733333333333333,0.11768175176287093,2.7755670447540294e-05,3.610226815390524e-05,149.37360549976196,89624.16329985717,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.1,0.005,600,41.3,336.31,3.190663281762348e-05,10062.680849814527,3.255936977529666,0.9791399777015153,0.012937244228441154,20058895.242152132,2.253416063994055e-05,0.0,0.05696807427459201,0.08441899511806565,0.18075376050906805,0.07026677006498996,0,167.85807861634555,403.86189466036654,1.4144297667187995,0.28,0.13090693402720066,2.984006634780494e-05,3.770031644717417e-05,148.56102300002627,89136.61380001577,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz
adaptive_rho,5,40,0.1,0.005,600,40.86666666666667,224.5822222222221,3.4851484801005664e-05,10201.765185287017,3.178265476963064,0.05753272701764835,0.010712161037759618,20067163.678961784,8.125989362181974e-06,0.0,0.0569978755594578,0.09780809326536738,0.18032128630000863,0.041531907983553315,0,163.84336544254563,395.8574682110118,1.4142987962654792,0.29333333333333333,0.12118688913608662,2.9566233920854754e-05,3.7684178293933105e-05,140.9747961659256,84584.87769955536,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz
adaptive_rho,6,40,0.1,0.005,600,42.6,669.2399999999997,2.159249666691446e-05,21409.03664043623,3.2150948713691267,0.05094374886513693,0.011217580135765725,20061717.510989916,3.069198643683776e-05,0.0,0.052164220049430714,0.10090374586481175,0.19056018734854613,0.020561743985282124,0,162.12595673127186,362.4827838888571,1.414332221802091,0.2733333333333333,0.11464546222088318,2.600291253049243e-05,3.329555618727622e-05,159.29434216726804,95576.60530036082,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz
adaptive_rho,7,40,0.1,0.005,600,40.86666666666667,224.5822222222221,2.3965855321896698e-05,9648.265953461947,3.1962172229350942,0.025414410707971506,0.010361827969896783,20064105.825702403,1.9861537255175188e-05,0.0,0.06127005355108594,0.09988305796192083,0.18291799181937143,0.03158886585250267,0,167.35880119284377,397.1484580950066,1.4148555562935647,0.275,0.13398274712053393,3.185781815600737e-05,4.251326407408963e-05,149.13177566602826,89479.06539961696,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz
adaptive_rho,8,40,0.1,0.005,600,41.3,336.31,2.4472568355967076e-05,12598.087200939786,3.194327762022026,5.502924450252033,0.022575147567216937,20052579.159412324,1.7229769966346036e-05,0.0,0.06347123489275616,0.10227047632789578,0.18784995195697984,0.040692498210476075,0,165.26896515327599,391.4152256109651,1.414368443411525,0.2833333333333333,0.14319663229002316,3.391709220679611e-05,4.28695606688903e-05,142.5499248324195,85529.9548994517,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz
adaptive_rho,9,40,0.1,0.005,600,43.03333333333333,779.4655555555555,2.5663762700914994e-07,243873.3757778278,3.3823772821230573,0.05865568234327187,0.011100322181550226,20058699.261882484,2.4358939079627878e-05,0.0,0.057449077375246904,0.11027905853580923,0.1845092985691772,0.05649737396614359,0,165.87132572729428,368.1667919974105,1.4145694641559783,0.3016666666666667,0.13648943757542825,3.0271120169881318e-05,3.875645653057869e-05,162.6544406672474,97592.66440034844,logs/reacher_cdc_adaptive_k_noise_40\run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz
