measurement_noise_std,runs,median_total_cost,median_rmse_ee,median_sigma_min_Ag,median_slack_max,median_solve_ms,success_rate
0.005,110,0.09926264150442818,0.048693748196081035,2.6609920161647264e-07,0.06285678272442255,570.2568934163235,0.07272727272727272
0.01,110,0.14486324744792928,0.06066452660366854,2.6469489166880173e-07,1.157976598660118,452.4167178320931,0.0
0.02,110,0.24377245769383152,0.08202815462417391,2.757157685186082e-07,3.271907087041601,414.5816196683639,0.0
