method,lag_steps,lag_radian_est,lag_corr_score,err_rmse,err_final,slack_max,sigma_min
fixed K=40,28,1.4000000000000001,0.6121715417724131,0.09234028232877457,0.010671653902844016,0.042785301471439406,0.0001953995393781737
fixed K=100,25,1.25,0.5227967814572634,0.059351897857776593,0.01987726769323763,0.0037631125443315433,8.113798896695393e-08
adaptive K (rho=0.6),6,0.30000000000000004,0.48191303216141096,0.05945762398561528,0.003278698164553318,0.004223431419573143,2.6448604973676765e-07
