K,sigma_mk_min_mean,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,K_opt_mean_mean,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max,rmse_mean,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,solve_mean_mean,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,slack_max_mean,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_mean,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
10,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,10.0,10.0,10.0,10.0,10.0,10.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,522.8595678508282,524.2983281239867,516.1080660521984,528.2843210063875,511.53966614976525,530.4232468828559,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
20,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,20.0,20.0,20.0,20.0,20.0,20.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,521.7810578066856,523.9975785557181,515.3578241616488,526.0996943358332,510.2625089325011,527.2096625994891,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
30,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,30.0,30.0,30.0,30.0,30.0,30.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,519.1378772128373,522.5133374053985,512.3863809425384,524.1220310479403,511.87639529816806,524.3135673366487,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
40,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,40.0,40.0,40.0,40.0,40.0,40.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,519.5590770840645,521.8334581051022,511.8441702853888,525.9115523286164,510.4229480680078,526.4318103715777,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
50,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,50.0,50.0,50.0,50.0,50.0,50.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,521.0930682756007,523.2845473475754,516.2369183972478,523.8853781986982,512.0334406010807,524.2164543177933,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
60,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,60.0,60.0,60.0,60.0,60.0,60.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,522.011864092201,524.0210690628737,515.8214069586247,525.9226249605417,510.44514707289636,526.1985097266734,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
70,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,70.0,70.0,70.0,70.0,70.0,70.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,520.8193426113576,522.4709410686046,515.2290451843292,524.5864013656974,510.7126883137971,525.113000459969,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
80,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,80.0,80.0,80.0,80.0,80.0,80.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,521.7429923377931,523.8413019385189,516.748227443546,524.6356136891991,512.0771034434438,525.0947827193886,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
90,0.9017877533758168,0.9011150281593233,0.8913545957841283,0.9115115021987077,0.886810924185314,0.9118720882893445,90.0,90.0,90.0,90.0,90.0,90.0,0.14517085067329802,0.14316401378669652,0.13276827630779112,0.1586496902134203,0.13058108081697326,0.1611282726294963,0.1903600176285069,0.18918510049606674,0.1821776704307378,0.199145114220715,0.1806800181826324,0.2007039297816959,520.5237653534859,522.6476729754359,514.8311353828758,523.8656878508627,509.6533396746963,523.8884689100087,0.00023860164661751318,0.0002369962934742642,0.00020383272782314305,0.0002734195895369233,0.00019556638958258764,0.0002786713179911409,0.0,0.0,0.0,0.0,0.0,0.0
