mode,seed,K,rho,measurement_noise_std,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
fixed_k,0,20,0.005,0.005,600,20.0,0.0,0.0563126439515651,97.83607307359227,2.6241221843762492,2.300750953947148,0.03992126377088416,20086000.68226096,1.575234091092199e-05,0.0016666666666666668,0.12179913840843246,0.2312998766775702,0.260953896435596,0.09971453228191636,0,136.46975485134652,320.86037798537427,1.414326341466314,0.22,0.3959779836089243,6.30976152088728e-05,8.017391189294861e-05,65.02885716656844,39017.31429994106,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K020_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed000.npz
fixed_k,1,20,0.005,0.005,600,20.0,0.0,0.06052834267428387,93.97309847212193,2.3275948234321966,1.4438261418854332,0.02158077277232743,20098329.139592733,4.088662727647777e-05,0.0033333333333333335,0.1377027119094542,0.25849969414911617,0.28500676836981315,0.11713005483473328,0,125.11861433170075,310.75536182689285,1.3364219326902584,0.16166666666666665,0.48398561194275963,7.298582511864815e-05,9.271062527634711e-05,66.67467600074208,40004.80560044525,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K020_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed001.npz
fixed_k,2,20,0.005,0.005,600,20.0,0.0,0.06455869911504242,95.84361907663742,2.4329503032387585,3.0826201774354423,0.02452618247713482,20100903.832671545,1.8227243609679772e-05,0.005,0.15910288480962753,0.25173956358648747,0.26132791266960986,0.1219235775258124,0,142.51986338884933,365.33016188956935,1.4144079011729813,0.23333333333333334,0.6424422402836281,8.641463634501611e-05,0.0001079043001778287,65.92122866500479,39552.73719900288,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K020_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed002.npz
fixed_k,3,20,0.005,0.005,600,20.0,0.0,0.05279590278325473,100.62947197084556,2.5726458406272754,3.2348039752722912,0.05558204272670886,20100651.846032195,3.5711211708612125e-05,0.006666666666666667,0.14973309698937337,0.2591337485105174,0.27434685055611124,0.07709106199867079,0,130.2117183045264,309.54852869378897,1.4134232029132066,0.19666666666666666,0.5751397280422827,8.338737615764123e-05,0.00011010051744928927,67.06158133272159,40236.948799632955,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K020_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed003.npz
fixed_k,4,20,0.005,0.005,600,20.0,0.0,0.06797955939492954,96.0317243947192,2.5957017828755404,3.6641924723017105,0.0651863864284887,20077102.428063307,3.681391756988402e-05,0.013333333333333334,0.11309345282015437,0.17035896699098632,0.19202788965707762,0.16623240972720488,0,135.89027291294485,324.27554879891755,1.4146029875987218,0.20666666666666667,0.3435511192836851,6.409886424820021e-05,8.083485774199354e-05,68.5104006655941,41106.240399356466,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K020_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed004.npz
fixed_k,0,30,0.005,0.005,600,30.0,0.0,0.021490407080090243,286.25829187284967,2.9495968236041783,4.961909822577047,0.02358529996985326,20064702.769783735,1.1384998864005031e-05,0.0,0.09187894013080665,0.14390651789686473,0.18933254054304896,0.11057072930943768,0,156.29255298634894,371.25041450809977,1.4142816922515142,0.2833333333333333,0.24705849424917242,5.233790016139963e-05,6.451018887430971e-05,98.35869299994859,59015.215799969155,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K030_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed000.npz
fixed_k,1,30,0.005,0.005,600,30.0,0.0,0.01532073550482677,292.0080742827079,3.0608947477984914,2.131301200757605,0.025125202748833116,20073823.06857515,2.7211023989955568e-05,0.0,0.09476181526390036,0.1417842202781453,0.1845795350613701,0.09613965061678535,0,159.7292039827818,384.58060804358354,1.4144038783679997,0.27,0.26749694834930104,5.3395793681994414e-05,6.57600508492623e-05,95.3609033349979,57216.54200099874,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K030_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed001.npz
fixed_k,2,30,0.005,0.005,600,30.0,0.0,0.02354870762167517,272.08446906707917,2.9187430075773584,2.184110372672874,0.01845648417287969,20060621.597444057,9.818131800470845e-06,0.0,0.08907896577650411,0.13231560156562483,0.19665895189554727,0.14108925277610468,0,155.24159427076214,366.7534484845363,1.4144025008797207,0.27166666666666667,0.23383577722084245,4.684127736237786e-05,6.180619560156885e-05,95.41105649957899,57246.633899747394,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K030_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed002.npz
fixed_k,3,30,0.005,0.005,600,30.0,0.0,0.022687177946216903,285.8993806057293,3.202680987447671,2.2453083293032305,0.023359552741746486,20060671.77694555,9.57206472480426e-06,0.0,0.07015035139066472,0.10054419543684011,0.2005980452050341,0.07522889452097102,0,165.18487829037988,399.00366569576966,1.4143042656806593,0.265,0.17334910877279128,3.820277763287077e-05,4.916801310736438e-05,98.46055016649188,59076.33009989513,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K030_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed003.npz
fixed_k,4,30,0.005,0.005,600,30.0,0.0,0.01756130438518434,274.93589500638376,2.942422064494617,1.8873421921982108,0.02732507017276103,20075148.074135706,1.6906529846481018e-05,0.0,0.09760433761677353,0.1458554282749199,0.18141194647565356,0.07714902106303435,0,159.48299012672686,368.40824950275464,1.4143061377195028,0.24833333333333332,0.2741127422935003,5.39838041031195e-05,6.963146248323951e-05,99.08844783397701,59453.06870038621,logs/reacher_cdc_fixed_k_noise\run_fixed_k_K030_rho0.005_noise0.005_Kmin20_Kmax200_Kstep10_gmin1e-06_seed004.npz
