rho,runs,median_k_opt_mean,median_k_opt_p90,median_sigma_min_Ag,median_infeasible_rate,success_rate,median_solve_ms
0.001,10,40.0,40.0,9.986778669938631e-05,0.0625,0.2,138.7466913733806
0.005,10,40.0,40.0,9.986778669938631e-05,0.06125,0.2,137.34422000226914
0.01,10,40.0,40.0,0.00010055345824033042,0.0625,0.1,138.3289952528139
0.05,10,51.3625,40.0,9.29906136267251e-05,0.052500000000000005,0.0,138.1188837492664
0.1,10,150.8,79.50000000000898,5.8005494594820636e-05,0.0425,0.0,132.5814042496495
0.2,10,561.825,2000.0,2.945496118435944e-06,0.02375,0.0,129.5823032510816
