rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.1,5,1.449226414161568e-05,162676.3801665845,1.2144742487580964,0.014564741698609879,20056785.663657285,0.05779702158948815,0.0,0.029091411869127646,5.350805557030096,229.21592300321208,63.8
0.2,5,2.71747264344476e-07,1030271.0202091414,1.2868041180367737,0.03927278107737428,20053329.3959007,0.05326383151152017,0.0,0.025473124289455133,6.025796655990104,368.4874375004438,112.8
0.3,5,2.71747264344476e-07,1324536.847583882,1.3148845914919665,0.003266066709407623,20053329.3959007,0.05268617421422368,0.0,0.02509360721186198,5.495149633118745,425.94190350035205,136.6
0.4,5,2.71747264344476e-07,1462525.1552115383,1.3566227551122176,0.007573224671153762,20053329.3959007,0.05449763293584127,0.0,0.026797199487933732,6.458213493269853,595.9480985018308,184.2
0.5,5,2.71747264344476e-07,1769100.0148422853,1.4376031958447408,0.005053566955438524,20053329.3959007,0.05294660998215029,0.8,0.02551305688988455,5.804048260011951,587.6823315015645,236.0
0.6,5,2.71747264344476e-07,2341997.4818867566,1.5276151515484389,0.0014399408483048745,20053329.3959007,0.051674205555440965,1.0,0.02449628314168735,3.7161350162193627,583.6639534990536,278.0
0.7,5,2.6448604973676765e-07,2415756.641206499,1.5409324246801908,0.0016961910457326233,20051807.88549077,0.04877550307860099,1.0,0.021852303047834174,3.3982064300754087,570.2552320001996,282.2
0.8,5,2.6448604973676765e-07,2420141.9269646327,1.5365794060459095,0.0016961910457326233,20051807.88549077,0.04812526628426825,1.0,0.022018398412362278,2.707900301767755,592.0547845013789,290.6
0.9,5,2.6448604973676765e-07,2454923.1737298877,1.5330098672736225,0.0022406248109435355,20051807.88549077,0.047501315381339296,1.0,0.021526965757739297,3.0476263565812833,652.2014409984695,290.6
1.0,5,2.6448604973676765e-07,2466444.2442768686,1.552862199860436,0.003463912844817485,20051807.88549077,0.04793139969583016,1.0,0.021485566506275748,4.006858404145901,714.4759470014833,296.2
