rho,seed,steps,k_opt_mean,k_opt_var,sigma_min_Ag,slack_max,slack_mean,total_cost,ISE,IAE,mean_solve_time_ms,npz_path
0.05,0,200,41.3,336.30999999999995,1.9011210535156486e-05,0.006787647208924273,0.0002916490106247542,0.05948071226150316,1.3143104194841194e-05,1.5504232932828593e-05,141.59365049999906,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed000.npz
0.05,1,200,43.9,998.7900000000005,4.435954251244024e-07,0.01799971936920223,0.0004259575838338886,0.03852055788808266,9.811359252030932e-06,1.2033726062281436e-05,144.46306950092549,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed001.npz
0.05,2,200,41.3,336.31,0.00016357133662757903,0.004931868723590941,0.0002992185130771232,0.05652116551166665,1.224258238390478e-05,1.4474582903116817e-05,141.32405100011965,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed002.npz
0.05,3,200,40.0,0.0,0.0002942921712824902,0.004368859619653847,0.00031550780635484387,0.048071799858368056,1.092870293628638e-05,1.337213383358172e-05,132.38026450009784,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed003.npz
0.05,4,200,42.6,669.2399999999996,1.7937929006560815e-05,0.03740863705656235,0.0004330912509134743,0.05786050441027763,1.2891209401743847e-05,1.4941128470190044e-05,137.44234600060736,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed004.npz
0.1,0,200,59.5,4689.75,1.9226980409767547e-06,0.055192150514821264,0.0006858772898616659,0.05409928886101207,1.2029570646992126e-05,1.451524291582477e-05,175.2262810000684,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed000.npz
0.1,1,200,54.3,3513.5099999999993,4.435954251244024e-07,0.01799971936920223,0.00038420260457539056,0.03855537128998839,9.874940024986185e-06,1.212316213392974e-05,156.7040400004771,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed001.npz
0.1,2,200,55.6,3812.64,9.556882094305447e-06,0.005703598737744706,0.00027001577047657563,0.05698518200217558,1.25266296128261e-05,1.4867165970135266e-05,162.66202850019909,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed002.npz
0.1,3,200,56.9,4108.39,0.00015611107039784628,0.004465258546941879,0.0003190716813084792,0.0483772206360455,1.1129182823382826e-05,1.3660698402120793e-05,153.3138594996126,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed003.npz
0.1,4,200,62.1,5257.590000000001,5.096357275190108e-07,0.003548111132331825,0.00031116913008127976,0.03837594460004837,9.768852237589582e-06,1.2064615186076456e-05,169.26758100060397,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed004.npz
0.2,0,200,90.7,10611.51,2.6156425516997616e-07,0.02521009527405586,0.00040619128285771406,0.10497126650463545,1.9579304416641102e-05,2.1685131663426475e-05,337.83319999973173,logs/reacher_adaptive_k_rho_sweep_3\run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed000.npz
