trial_id,N_loc,sigma_bar,total_cost,rmse_ee,solve_time_mean_ms,Kopt_mean,score_cost_rmse
79,20000,0.2,0.0291379867653645,0.0401880781735664,177.17120075103594,68.475,0.0
1,100,0.2,0.029141567391365,0.0401937302349332,177.8992230008589,68.47,0.00012146678825242644
14,200,0.2,0.029141567391365,0.0401937302349332,177.20107725006528,68.47,0.00012146678825242644
27,500,0.2,0.029141567391365,0.0401937302349332,178.13390049879672,68.47,0.00012146678825242644
40,1000,0.2,0.029141567391365,0.0401937302349332,177.73500350187533,68.47,0.00012146678825242644
53,2000,0.2,0.029141567391365,0.0401937302349332,177.73928450245876,68.47,0.00012146678825242644
66,10000,0.2,0.029141567391365,0.0401937302349332,177.42948174709454,68.47,0.00012146678825242644
92,30000,0.2,0.029141567391365,0.0401937302349332,178.40728375100298,68.47,0.00012146678825242644
64,2000,2.0,0.0303070028054191,0.04116917983163,223.8990887522232,198.2636815920398,0.02599775630435464
38,500,2.0,0.0303172767509463,0.0411770167066525,220.91213399806293,198.2636815920398,0.026213822222535647
12,100,2.0,0.0303337769447146,0.0411895341522037,219.49221650196705,198.2636815920398,0.02655974234328768
25,200,2.0,0.0303337769447146,0.0411895341522037,220.86707474809373,198.2636815920398,0.02655974234328768
51,1000,2.0,0.0303337769447146,0.0411895341522037,219.7360730019864,198.2636815920398,0.02655974234328768
77,10000,2.0,0.0303337769447146,0.0411895341522037,220.09267124929465,198.2636815920398,0.02655974234328768
90,20000,2.0,0.0303337769447146,0.0411895341522037,220.22350325190928,198.2636815920398,0.02655974234328768
103,30000,2.0,0.0303337769447146,0.0411895341522037,220.335598247475,198.2636815920398,0.02655974234328768
13,100,5.0,0.0395561974419559,0.0475012722287511,218.12201700435253,180.0,0.20908354673665072
26,200,5.0,0.0395561974419559,0.0475012722287511,219.07956999813905,180.0,0.20908354673665072
39,500,5.0,0.0395561974419559,0.0475012722287511,219.175852247281,180.0,0.20908354673665072
52,1000,5.0,0.0395561974419559,0.0475012722287511,219.027842747455,180.0,0.20908354673665072
