trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95,score_cost_rmse
79,20000,0.2,1,0.0401880781735664,0.0291379867653645,177.17120075103594,250.1643049588892,0.002387980006879,0.0002187596927941,7,0,68.475,77.04999999999995,0.0
1,100,0.2,1,0.0401937302349332,0.029141567391365,177.8992230008589,250.11849501170207,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
14,200,0.2,1,0.0401937302349332,0.029141567391365,177.20107725006528,247.7576299861539,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
27,500,0.2,1,0.0401937302349332,0.029141567391365,178.13390049879672,249.5478949975222,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
40,1000,0.2,1,0.0401937302349332,0.029141567391365,177.73500350187533,248.22451492073003,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
53,2000,0.2,1,0.0401937302349332,0.029141567391365,177.73928450245876,248.2619350485038,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
66,10000,0.2,1,0.0401937302349332,0.029141567391365,177.42948174709454,249.22263000044035,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
92,30000,0.2,1,0.0401937302349332,0.029141567391365,178.40728375100298,249.67600001837127,0.002387980006879,0.0002205453961795,7,0,68.47,77.0,0.00012146678825242644
64,2000,2.0,1,0.04116917983163,0.0303070028054191,223.8990887522232,331.66748500661896,0.0006775484769913,0.0001053557858621,2,398,198.2636815920398,180.0,0.02599775630435464
38,500,2.0,1,0.0411770167066525,0.0303172767509463,220.91213399806293,326.5552699740508,0.0006775484769913,0.0001053729975205,2,398,198.2636815920398,180.0,0.026213822222535647
