K,n,rmse_mean,rmse_std,cost_mean,cost_std,solve_mean,solve_std,solve_p95_mean,sigma_min_mean,sigma_min_std,sigma_p10_mean,slack_max_mean,slack_viol_rate,fail_count_mean,rmse_mean_n,cost_mean_n,solve_mean_n,slack_max_mean_n,score_balanced
810,5,0.13187519144712362,0.008236989501337008,0.1666207936596288,0.021241282386819105,62.45088179712184,2.8597642141984894,92.92316003004088,0.1853293506878623,0.006150847841478684,0.2051264650510533,6.645103099996897,0.9109999999999999,4.6,0.0,0.0,0.8860596760489151,0.0,0.22151491901222878
660,5,0.13213958268711118,0.008316775313616775,0.16677573267450124,0.021177288246640173,62.05812109983526,1.0522380528612665,91.69577004853636,0.1853293506878623,0.006150847841478684,0.20531355594822615,6.785710216715626,0.9029999999999999,4.6,0.08340166214518702,0.016710661751277087,0.6675384861850295,0.9999999999928879,0.3044229518414403
610,5,0.13303809068467426,0.008887434873611978,0.17007650637286392,0.022392558558326947,62.181907299440354,2.0841704871785085,92.42964804638177,0.1853293506878623,0.006150847841478684,0.20520480106529013,6.778292660529672,0.9109999999999999,4.8,0.366834125531759,0.3727095225692939,0.7364097042404767,0.9472462250844751,0.5187380794235937
510,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.858315801946446,1.424663879758083,90.1791769801639,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.0,0.9303522556856966,0.5645655702367549
60,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.86032399511896,0.7486140188422156,90.60244298074394,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.0011173031430234835,0.9303522556856966,0.5648448960225108
260,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.995098799234256,0.9521919072567429,90.56020305724815,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.07610227684943678,0.9303522556856966,0.5835911394491141
10,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.159859399311244,0.7277906470956351,90.48970892094076,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.16777051814813618,0.9303522556856966,0.606508199773789
910,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.29372789780609,1.3262454298178805,90.467387966346,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.2422512484719285,0.9303522556856966,0.6251283823547371
160,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.37531540123746,0.9627927702831797,91.2792869657278,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.2876442790144859,0.9303522556856966,0.6364766399903764
760,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.42199300695211,1.2604800956012436,91.14538104040548,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.313614407928174,0.9303522556856966,0.6429691722187985
360,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.49311950081028,0.8090035102495003,91.82142897043377,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.3531872220516651,0.9303522556856966,0.6528623757496712
110,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.57704869960435,1.0444896217419037,91.59775002393872,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.39988310713260067,0.9303522556856966,0.6645363470199052
460,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.582064795773476,1.1690779422836712,90.85205201990902,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.40267392431701454,0.9303522556856966,0.6652340513160085
210,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.66603709687479,1.4060945107511984,92.87379304878412,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.4493937903296731,0.9303522556856966,0.6769140178191733
860,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.82560399523936,2.5747210327521306,91.88994406023993,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.5381723996314957,0.9303522556856966,0.6991086701446289
960,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.91983789484948,2.143260718254894,92.48351200716569,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.590601535261866,0.9303522556856966,0.7122159540522215
560,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.12495659920387,2.083606032654437,92.99735298845916,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.704723909645358,0.9303522556856966,0.7407465476480944
310,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.17751320428215,1.5728638588264152,92.23972796928138,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.7339649512166135,0.9303522556856966,0.7480568080409083
410,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.655673291767016,2.30850798044329,93.50207796553148,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0,0.7059447792547835,0.7566097318650875,0.9999999999994436,0.9303522556856966,0.8145655702366158
710,5,0.13504528701960636,0.011405269405796897,0.1758926595594863,0.029323255775807328,62.51813540328294,3.0327619993486317,93.02693794481455,0.1853293506878623,0.006150847841478684,0.20508183993380885,6.775917248202559,0.9109999999999999,5.0,0.9999999996845521,0.9999999998921468,0.923477722565515,0.9303522556856966,0.973904656056806
