K,n,rmse_mean,rmse_std,cost_mean,cost_std,solve_mean,solve_std,solve_p95_mean,sigma_min_mean,sigma_min_std,sigma_p10_mean,slack_max_mean,slack_viol_rate,fail_count_mean
10,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.159859399311244,0.7277906470956351,90.48970892094076,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
60,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.86032399511896,0.7486140188422156,90.60244298074394,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
110,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.57704869960435,1.0444896217419037,91.59775002393872,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
160,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.37531540123746,0.9627927702831797,91.2792869657278,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
210,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.66603709687479,1.4060945107511984,92.87379304878412,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
260,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.995098799234256,0.9521919072567429,90.56020305724815,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
310,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.17751320428215,1.5728638588264152,92.23972796928138,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
360,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.49311950081028,0.8090035102495003,91.82142897043377,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
410,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.655673291767016,2.30850798044329,93.50207796553148,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
460,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.582064795773476,1.1690779422836712,90.85205201990902,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
510,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,60.858315801946446,1.424663879758083,90.1791769801639,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
560,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,62.12495659920387,2.083606032654437,92.99735298845916,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
610,5,0.13303809068467426,0.008887434873611978,0.17007650637286392,0.022392558558326947,62.181907299440354,2.0841704871785085,92.42964804638177,0.1853293506878623,0.006150847841478684,0.20520480106529013,6.778292660529672,0.9109999999999999,4.8
660,5,0.13213958268711118,0.008316775313616775,0.16677573267450124,0.021177288246640173,62.05812109983526,1.0522380528612665,91.69577004853636,0.1853293506878623,0.006150847841478684,0.20531355594822615,6.785710216715626,0.9029999999999999,4.6
710,5,0.13504528701960636,0.011405269405796897,0.1758926595594863,0.029323255775807328,62.51813540328294,3.0327619993486317,93.02693794481455,0.1853293506878623,0.006150847841478684,0.20508183993380885,6.775917248202559,0.9109999999999999,5.0
760,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.42199300695211,1.2604800956012436,91.14538104040548,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
810,5,0.13187519144712362,0.008236989501337008,0.1666207936596288,0.021241282386819105,62.45088179712184,2.8597642141984894,92.92316003004088,0.1853293506878623,0.006150847841478684,0.2051264650510533,6.645103099996897,0.9109999999999999,4.6
860,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.82560399523936,2.5747210327521306,91.88994406023993,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
910,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.29372789780609,1.3262454298178805,90.467387966346,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
960,5,0.13411310386696246,0.010066810574117667,0.17363597763276564,0.026088693405610548,61.91983789484948,2.143260718254894,92.48351200716569,0.1853293506878623,0.006150847841478684,0.20512413242648883,6.775917248202559,0.9109999999999999,5.0
