file,K,seed,total_cost,rmse_ee,ISE,IAE,sigma_min_all,solve_ms_mean,solve_ms_p95,solve_ms_max,sigma_Mk_min,sigma_Mk_mean,sigma_Mk_p10,slack_inf_max,slack_inf_mean,slack_violation_rate,kkt_max,eq_max,status_fail_count
run_fixedk_K010_seed000.npz,10,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.60301150428131,89.27252484718338,139.18669987469912,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K010_seed001.npz,10,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,61.99665248976089,91.24849491054192,133.61280015669763,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K010_seed002.npz,10,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,60.71656249812804,90.92432003235443,155.45790013857186,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K010_seed003.npz,10,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.91181900445372,89.43114982685073,100.90749990195036,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K010_seed004.npz,10,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.57125149993226,91.5720549877733,115.58769992552698,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K060_seed000.npz,60,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,59.56470699282363,87.26517996983603,90.85769997909665,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K060_seed001.npz,60,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,60.961683995556086,89.36779003124684,126.90460006706417,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K060_seed002.npz,60,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.06830549542792,92.87718497216702,100.01980001106858,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K060_seed003.npz,60,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.24583149095997,89.36138009885326,157.79379988089204,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K060_seed004.npz,60,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,61.46109200082719,94.14067983161657,141.1990998312831,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K110_seed000.npz,110,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,59.92315900279209,88.74803994549438,95.0995001476258,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K110_seed001.npz,110,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,61.24942599446513,90.32914999406785,95.36019992083311,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K110_seed002.npz,110,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.91776449442841,93.25381508097051,106.26090015284717,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K110_seed003.npz,110,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,62.225760504370555,90.286170062609,133.7276000995189,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K110_seed004.npz,110,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,62.56913350196555,95.3715750365518,190.27259992435575,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K160_seed000.npz,160,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,61.11590550048277,89.27816993091255,179.109999909997,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K160_seed001.npz,160,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,60.455137498211116,88.3083998807706,91.94289986044168,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K160_seed002.npz,160,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,61.9195865013171,92.68445995403454,128.59730003401637,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
