sigma_bar,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max,group
0.1,0.1485665916425846,0.1485665916425846,0.1485665916425846,0.1485665916425846,0.1485665916425846,0.19429106352287392,0.19429106352287392,0.19429106352287392,0.19429106352287392,0.19429106352287392,117.51747211441398,117.51747211441398,117.51747211441398,117.51747211441398,117.51747211441398,19.765,19.765,19.765,19.765,19.765,0.13322271325993668,0.13322271325993668,0.13322271325993668,0.13322271325993668,0.13322271325993668,2.498043197272375e-05,2.498043197272375e-05,2.498043197272375e-05,2.498043197272375e-05,2.498043197272375e-05,3.2157778411822166e-05,3.2157778411822166e-05,3.2157778411822166e-05,3.2157778411822166e-05,3.2157778411822166e-05,8.031607407792523,8.031607407792523,8.031607407792523,8.031607407792523,8.031607407792523,0.72,0.72,0.72,0.72,0.72,N_loc=200
0.2,0.2011773443172554,0.2011773443172554,0.2011773443172554,0.2011773443172554,0.2011773443172554,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,512.4431961262599,512.4431961262599,512.4431961262599,512.4431961262599,512.4431961262599,81.2,81.2,81.2,81.2,81.2,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.00025976343783392774,0.00025976343783392774,0.00025976343783392774,0.00025976343783392774,0.00025976343783392774,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.30000000000000004,0.17152737470413432,0.17152737470413432,0.17152737470413432,0.17152737470413432,0.17152737470413432,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,753.07642377913,753.07642377913,753.07642377913,753.07642377913,753.07642377913,106.28,106.28,106.28,106.28,106.28,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.00013144056707015768,0.00013144056707015768,0.00013144056707015768,0.00013144056707015768,0.00013144056707015768,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.4,0.24259836117636377,0.24259836117636377,0.24259836117636377,0.24259836117636377,0.24259836117636377,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1364.533635303378,1364.533635303378,1364.533635303378,1364.533635303378,1364.533635303378,161.14,161.14,161.14,161.14,161.14,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.00015979967628185595,0.00015979967628185595,0.00015979967628185595,0.00015979967628185595,0.00015979967628185595,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.5,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1262.5223064888269,1262.5223064888269,1262.5223064888269,1262.5223064888269,1262.5223064888269,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.6,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1270.0974356941879,1270.0974356941879,1270.0974356941879,1270.0974356941879,1270.0974356941879,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.7000000000000001,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1269.2006587609649,1269.2006587609649,1269.2006587609649,1269.2006587609649,1269.2006587609649,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.8,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1213.3423053612933,1213.3423053612933,1213.3423053612933,1213.3423053612933,1213.3423053612933,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.9,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1240.5751501396298,1240.5751501396298,1240.5751501396298,1240.5751501396298,1240.5751501396298,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=200
0.1,0.10629947740345498,0.10629947740345498,0.10629947740345498,0.10629947740345498,0.10629947740345498,0.38353188690207995,0.38353188690207995,0.38353188690207995,0.38353188690207995,0.38353188690207995,149.89972551818937,149.89972551818937,149.89972551818937,149.89972551818937,149.89972551818937,19.605,19.605,19.605,19.605,19.605,0.2025819775044576,0.2025819775044576,0.2025819775044576,0.2025819775044576,0.2025819775044576,3.947278312068942e-05,3.947278312068942e-05,3.947278312068942e-05,3.947278312068942e-05,3.947278312068942e-05,5.2215898858337704e-05,5.2215898858337704e-05,5.2215898858337704e-05,5.2215898858337704e-05,5.2215898858337704e-05,12.2152804252209,12.2152804252209,12.2152804252209,12.2152804252209,12.2152804252209,0.375,0.375,0.375,0.375,0.375,N_loc=500
