trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
1,100,0.2,1,0.04019373023493323,0.029141567391365076,177.8992230008589,250.11849501170212,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
2,100,0.3,1,0.049932961170790796,0.0431131936731918,226.90320999827236,352.3863199923653,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
3,100,0.4,1,0.06710493393263965,0.0751873476406872,317.72592525114305,516.3186550780661,0.0010983325149213886,0.00011958253503124498,3,0,153.8275,172.0
4,100,0.45,1,0.05038727636151636,0.043699286271540974,296.19160925009055,436.2751450913489,0.0006601364933178433,0.0001070680660413979,4,0,176.52,189.0
5,100,0.5,1,0.06862306897231171,0.07830081383178218,294.3842112523271,452.75743500678783,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
6,100,0.55,1,0.05107060203921516,0.04455463077225071,326.02281175059034,630.8592549350578,0.006025446153162655,0.0001719710977069164,3,0,226.8725,247.0
7,100,0.6,1,0.059213001271725796,0.05889098999539527,317.72410474921344,678.8845349510666,0.005325328121663746,0.0001643953461809731,3,0,256.2525,293.04999999999995
8,100,0.65,1,0.05806915186765481,0.05666844162925594,259.37029924738454,588.7767250591422,0.0014385845026689765,0.00010093151887501721,4,0,283.96,331.2999999999997
9,100,0.7,1,0.06148567326505117,0.0631097041156408,292.45896850014105,748.8184450834518,0.007993899320141454,0.0001822450562310189,3,0,315.26,356.04999999999995
10,100,0.8,1,0.05739584556866158,0.05535306652139425,300.84227049839683,916.5168499806896,0.00861052327332864,0.0003705762652940468,3,0,383.4525,467.14999999999986
11,100,1.0,1,0.07182265887719799,0.08485335698728903,82.06540924846195,149.23927998170257,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
12,100,2.0,1,0.04118953415220371,0.03033377694471468,219.49221650196705,331.8235700251531,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
13,100,5.0,1,0.04750127222875112,0.03955619744195596,218.12201700435253,328.5558650037268,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
14,200,0.2,1,0.04019373023493323,0.029141567391365076,177.20107725006528,247.7576299861539,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
