method,tracking_success,lag_steps,lag_radian_est,lag_corr_score,amp_ratio,err_rmse,err_final,slack_max,sigma_min,solver_fail_rate,cond_index_mean
fixed K=40,0,8,0.8,0.2339280634088105,3.442744072549795,0.08271728374812407,0.05456312471152368,0.006868792697681492,0.00014669030923362446,0.015,-1.0211320669532598
fixed K=100,0,13,1.3,0.5159139954924385,2.2439050002217615,0.06295208162432825,0.031684362072309444,0.009264317945175179,8.113798896695393e-08,0.01,1.0672631170827345
adaptive K (rho=0.6),1,13,1.3,0.4210131869587641,2.0914413336342084,0.05978549171671071,0.025368645143985544,0.0230937347381217,2.6448604973676765e-07,0.04,-0.5845800401838736
