K,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
20.0,10,0.07097722281322849,93.65404133105825,1.5723539867886531,0.10585711116529277,20058456.81137026,0.10976605708977188,0.0,0.10177160495770252,56.501148847971905,90.05932149928412,20.0
30.0,10,0.020443014607552202,277.47235872901,1.1438745233688612,0.027410533278689718,20057257.95071289,0.08073982799586928,0.0,0.0567206740796937,17.037290937552875,124.96011125025689,30.0
40.0,10,0.0001201509811033844,16630.161825092335,1.1905918349217255,0.01543036188119554,20055895.96822035,0.06191368948844274,0.1,0.03374772422475424,9.538081253169135,141.8497355011641,40.0
50.0,10,1.1961374068913566e-09,272963452.55217886,1.1826475879968148,0.014017845983967157,20055758.75424842,0.05598122124709203,0.0,0.02838804789426283,2.3794859196334572,154.37767900002655,50.0
60.0,10,4.3872682162780604e-08,17646493.61255572,1.2226288991212355,0.00475198521796142,20054308.490441713,0.051269687927557886,0.0,0.024465002174457053,1.3920295999624726,191.32693974970607,60.0
70.0,10,5.9225939105525245e-08,11591798.496937271,1.2403919170217113,0.003500218233534317,20054106.046606682,0.049377770659850835,0.0,0.022807647120547177,1.6690715962225389,181.47570875036763,70.0
80.0,10,7.25658520870392e-08,8030435.754951855,1.3027220146460001,0.002869205832530049,20053402.858280767,0.048499350752103765,0.9,0.022277257588820862,2.2622886945931056,258.00349299941445,80.0
90.0,10,8.361820852285574e-08,6506404.075390875,1.3177359000523126,0.002494805768421604,20052556.821258835,0.046738648262131616,1.0,0.021078232774705816,1.6977505149220742,289.5258350005315,90.0
100.0,10,8.868792587019379e-08,6081461.690202558,1.3317230558483248,0.0012770646697578148,20052372.249987196,0.04547829034087303,1.0,0.020311865177603756,1.7046794303040032,307.34333899934427,100.0
110.0,10,9.587143191667436e-08,5729199.30567609,1.3829823875346259,0.0007606112671501495,20052757.984126586,0.0469696667752919,1.0,0.021114785770861837,1.2599078414554206,303.6521477512724,110.0
120.0,10,1.0567957366227092e-07,5467276.639875669,1.421558795132646,0.0005363380820705769,20052765.63729301,0.045399179741972356,1.0,0.020581999702988338,1.0786568863488628,210.8871402486693,120.0
130.0,10,1.1765968842078428e-07,5063908.963249518,1.4305500096005854,0.00048682538683172147,20052640.114132065,0.044535048580177025,1.0,0.019476855466022416,0.9391721629681699,262.18594475009013,130.0
140.0,10,1.2287484207892047e-07,4740547.747417955,1.443905175478973,0.00048397528832569935,20052286.582914114,0.04445773749385172,1.0,0.019674607911668897,0.8662690907922342,335.233733500354,140.0
150.0,10,1.3336970526824572e-07,4502937.588615535,1.4559119641978557,0.0004904702122352745,20052185.333809882,0.043149646555774065,1.0,0.01855019391526342,0.845118117294996,365.8052415010752,150.0
160.0,10,1.3671024341344937e-07,4288619.653830523,1.449536085590597,0.0005976263685518767,20052287.516787913,0.04329086912700373,1.0,0.018734920594590938,0.6392460747991247,389.277123498905,160.0
170.0,10,1.4252962043090905e-07,4069586.8172711385,1.4715633733475344,0.0025391847487330746,20052261.388261102,0.04387803158305581,1.0,0.019204646142919772,0.7212866032050702,388.0599777532916,170.0
180.0,10,1.5457152549317748e-07,3822602.9792012447,1.4866494829107553,0.003961451067869868,20051845.782431573,0.04328711942503502,1.0,0.01876227430478265,0.7169776339179487,462.1733157490962,180.0
190.0,10,1.633403656520696e-07,3663694.4381093285,1.4930727936010375,0.0005175054459006653,20051763.62354741,0.04259381679552626,1.0,0.018163339415547042,0.5442256673011545,483.65600074917893,190.0
200.0,10,1.681918307573197e-07,3551828.8778206697,1.4957129073283402,0.0004944325105895265,20051661.980764505,0.042823469600667186,1.0,0.01848337352584237,0.5049414061262831,421.6038857505191,200.0
210.0,10,1.774579421497723e-07,3376016.1565388436,1.5237709776314086,0.0017639796390399838,20051653.491625622,0.04196422740798507,1.0,0.017868053870168973,0.7487157709187209,594.3271274997096,210.0
220.0,10,1.8222369793606552e-07,3285617.8069816446,1.511597938965483,0.0004876339649006401,20051595.958524585,0.042866696703244674,1.0,0.018500091452044357,0.5875107417271752,604.6223989980354,220.0
230.0,10,1.9889125747506056e-07,3161925.86585626,1.533756553432696,0.000494934437743467,20051403.304069873,0.04270411627600344,1.0,0.018410919326621783,0.6118469491800733,617.0372302486794,230.0
240.0,10,2.0752599039594507e-07,3099378.11778403,1.5450429190938848,0.00048368194391731336,20051386.608813275,0.04318254288637221,1.0,0.01862897927356965,0.5028487301484365,685.4313724997337,240.0
250.0,10,2.1241162780359202e-07,3026607.134011958,1.5648135674283266,0.0011290848904666072,20051340.422368087,0.04238246698902308,1.0,0.01823432823248732,0.6447628022606805,550.7494014999247,250.0
260.0,10,2.151721158595641e-07,2953535.2341654366,1.565485220815108,0.0007045308772046698,20051353.90332219,0.042870285421908065,1.0,0.018470845320159753,0.6496256557628037,529.1521502492833,260.0
270.0,10,2.3190687948577233e-07,2932888.683579048,1.5711240621825735,0.00048095178977522745,20051512.29240614,0.04319562093367615,1.0,0.018673561071881332,0.497131078024427,589.1486297485244,270.0
280.0,10,2.4546741581855123e-07,2844819.2574985074,1.588341892925924,0.007136093233431215,20051416.21320391,0.04197799298578296,1.0,0.017836853779987213,0.6845899234178675,772.5716169987572,280.0
290.0,10,2.5470703888242393e-07,2795771.0929254503,1.5861829922604875,0.00047597183095541564,20051409.88222395,0.04260516033192008,1.0,0.018285861970780658,0.5466419501966724,495.36177925227094,290.0
300.0,10,2.600551413429449e-07,2750371.2742039505,1.5957566470522124,0.00047447552635884076,20051330.753298655,0.04280531803364916,1.0,0.018528932603975905,0.48321869745647966,514.1960327496054,300.0
310.0,10,2.6244312974684873e-07,2705686.2200835906,1.6059317459099947,0.0004530253889724914,20051343.91342456,0.04213578396033897,1.0,0.017941963965927826,0.4688003339773561,636.5364087508351,310.0
320.0,10,2.7176759665532564e-07,2678767.7816208415,1.6110054993633298,0.00046882787082048593,20051214.721746683,0.04288391646291266,1.0,0.018512368456236356,0.5018325711028128,550.3964230000565,320.0
