mode,seed,K,rho,measurement_noise_std,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,50,0.3,0.005,400,1000.0,0.0,1.2335888845111512e-06,1125693.3657040114,3.0330517726381094,0.8736781062242613,0.005314846072713194,20166175.30229286,0.03325765132267277,0.025,0.05192798281606053,0.11227921155331694,0.18933254054304896,0.01443135854670622,0,118.04300364345335,331.58556042218277,1.4142380783289374,0.2825,0.060031898918545934,1.3705438050704427e-05,1.8133434900730938e-05,625.6459829967935,250258.3931987174,logs/reacher_cdc_adaptive_k_noise_quik_2\run_adaptive_rho_K050_rho0.3_noise0.005_Kmin50_Kmax1000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,0,50,0.6,0.005,400,1000.0,0.0,1.2335888845111512e-06,1160463.7032363014,3.0556371517937975,0.8736781062242613,0.005042019390095319,20166175.30229286,0.03325765132267277,0.0125,0.054728653722210266,0.11227921155331694,0.18933254054304896,0.01012301959916829,1,113.6352599775372,313.2375521391625,1.4147404702636994,0.2425,0.06509023968420226,1.4548137746034661e-05,1.9192002654686856e-05,632.1158397526597,252846.33590106387,logs/reacher_cdc_adaptive_k_noise_quik_2\run_adaptive_rho_K050_rho0.6_noise0.005_Kmin50_Kmax1000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,0,50,0.9,0.005,400,1000.0,0.0,1.2335888845111512e-06,1154887.8078426311,3.1031546202056095,0.8736781062242613,0.00505942651829717,20166175.30229286,0.03325765132267277,0.01,0.05262875839950514,0.11227921155331694,0.18933254054304896,0.008391882255506971,1,117.15293546141535,313.7467579700519,1.4142380783289374,0.275,0.06277174448231587,1.3535534149370656e-05,1.8026612826665417e-05,623.122680746892,249249.0722987568,logs/reacher_cdc_adaptive_k_noise_quik_2\run_adaptive_rho_K050_rho0.9_noise0.005_Kmin50_Kmax1000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,0,50,1.0,0.005,400,1000.0,0.0,1.2335888845111512e-06,1138854.0241880468,3.0380689027190173,0.8736781062242613,0.005210303984234754,20166175.30229286,0.03325765132267277,0.02,0.05169114999439376,0.11227921155331694,0.18933254054304896,0.008361485726161896,1,118.18706109952498,334.1364086141704,1.4142380783289374,0.295,0.05969536090070199,1.3294288347652103e-05,1.7597540194250654e-05,629.4549112493405,251781.9644997362,logs/reacher_cdc_adaptive_k_noise_quik_2\run_adaptive_rho_K050_rho1_noise0.005_Kmin50_Kmax1000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,0,50,1.5,0.005,400,1000.0,0.0,1.2335888845111512e-06,1125693.3657040114,3.0330517726381094,0.8736781062242613,0.005314846072713194,20166175.30229286,0.03325765132267277,0.025,0.05192798281606053,0.11227921155331694,0.18933254054304896,0.01443135854670622,0,118.04300364345335,331.58556042218277,1.4142380783289374,0.2825,0.060031898918545934,1.3705438050704427e-05,1.8133434900730938e-05,627.9942390011274,251197.69560045097,logs/reacher_cdc_adaptive_k_noise_quik_2\run_adaptive_rho_K050_rho1.5_noise0.005_Kmin50_Kmax1000_Kstep10_gmin1e-06_seed000.npz
