sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.04,15,unified_a001,40,0,1,1,19,189,0.6233333333333333,181,1,1.0,1.0,0.13295926845666522,48.63333333333333,89.0,2.121194922639235,17.49958004875356,66.56035460860942,577.0
0.04,16,fixedK40,40,1,1,0,19,-1,0.9733333333333334,182,1,1.0,1.0,0.13069984458666645,40.0,40.0,0.5039337906226496,nan,nan,nan
0.04,16,unified_a001,40,0,1,1,19,90,0.8066666666666666,160,1,1.0,1.0,0.1499206910166663,49.596666666666664,81.0,1.2539296831783693,14.93458661519229,62.754675407893664,577.0
0.04,17,fixedK40,40,0,1,1,19,214,0.6833333333333333,205,1,1.0,1.0,0.11605862415333452,40.0,40.0,2.1416097359330872,nan,nan,nan
0.04,17,unified_a001,40,1,1,0,19,-1,0.9133333333333333,258,1,1.0,1.0,0.14670012208665564,49.47666666666667,84.0,1.5669337456348258,12.992320909843789,62.923485831295295,577.0
0.04,18,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13439889667000443,40.0,40.0,0.35719016985079427,nan,nan,nan
0.04,18,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.15663002239000132,53.973333333333336,78.0,0.6961104675316487,9.772032413507866,61.988209735850866,577.0
0.04,19,fixedK40,40,0,1,1,19,118,0.7282051282051282,110,1,1.0,1.0,0.12250846176923286,40.0,40.0,2.533566665626401,nan,nan,nan
0.04,19,unified_a001,40,0,1,1,19,167,0.5833333333333334,158,1,1.0,1.0,0.12859963344999717,45.556666666666665,76.0,3.028792351886555,19.865127124252947,67.61117834745792,577.0
0.04,20,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.12882309100333564,40.0,40.0,0.26969409127794525,nan,nan,nan
0.04,20,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.15883130639665752,55.56333333333333,78.0,1.22752799247923,13.364857038823358,59.132554606073924,577.0
0.04,21,fixedK40,40,0,1,1,19,164,0.72,157,1,1.0,1.0,0.1168926233200015,40.0,40.0,2.167492919989093,nan,nan,nan
0.04,21,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1676817612599939,57.23,81.0,0.5104614201181519,11.797979801470444,59.380727227034306,577.0
0.04,22,fixedK40,40,0,1,1,19,210,0.8466666666666667,203,1,1.0,1.0,0.12420326898999672,40.0,40.0,1.2443984771515466,nan,nan,nan
0.04,22,unified_a001,40,1,1,0,19,-1,0.9233333333333333,277,1,1.0,1.0,0.15388416986999648,53.193333333333335,81.0,0.617942372496519,11.602118561244389,61.19372108168968,577.0
0.04,23,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1207586784500154,40.0,40.0,0.3960734354432203,nan,nan,nan
0.04,23,unified_a001,40,0,1,1,19,151,0.8033333333333333,143,1,1.0,1.0,0.14021787235333705,50.656666666666666,79.0,1.3846981178178297,13.656823214735322,63.64665868711282,577.0
0.04,24,fixedK40,40,0,1,1,19,276,0.8933333333333333,268,1,1.0,1.0,0.12520960942999787,40.0,40.0,0.9805730723207424,nan,nan,nan
0.04,24,unified_a001,40,1,1,0,19,-1,0.93,234,1,1.0,1.0,0.15396277898666008,55.236666666666665,86.0,0.6998590848235459,12.8147970618681,59.96209859862957,577.0
0.04,25,fixedK40,40,0,1,1,19,181,0.85,173,1,1.0,1.0,0.12247993456332551,40.0,40.0,0.8213578947091082,nan,nan,nan
