method,x,sigma_min_Ag,localness,slack_max,kkt_max,rmse_ee,success_rate,total_cost,jerk_sum_sq
adaptive_rho,0.1,3.2479062891632296e-05,2.341987649408083,0.0021040094286715475,20054479.24627411,0.07598575305063932,0.0,0.05318067518806531,nan
adaptive_rho,0.2,1.2629652263602351e-05,2.5193868507314288,0.00448514664608074,20054479.24627411,0.07744525350831914,0.0,0.053452049388642224,nan
adaptive_rho,0.3,3.2197504254116048e-06,2.5972661668422656,0.005230878972519603,20044287.46458117,0.07398426617708996,0.0,0.04780698610715024,nan
adaptive_rho,0.4,3.1789949551432286e-06,2.758162975847968,0.010622747261042037,20044287.46458117,0.06912832450171828,0.0,0.04564570054222328,nan
adaptive_rho,0.5,2.5825706756310456e-06,2.913610216444083,0.004781739528960636,20042940.591843378,0.06905865084733001,0.0,0.04450666767660827,nan
adaptive_rho,0.6,2.5825706756310456e-06,2.9167753074330447,0.00487541241506676,20040231.753658466,0.07015851358046696,0.0,0.04574519264016999,nan
adaptive_rho,0.7,2.5825706756310456e-06,2.9183942801067992,0.01391718924749926,20042940.591843378,0.06847237818320766,0.0,0.04333638412312801,nan
adaptive_rho,0.8,2.5825706756310456e-06,3.006344942685532,0.008845846180151853,20043349.661090694,0.06586457172476423,0.0,0.040845912300484885,nan
adaptive_rho,0.9,2.5825706756310456e-06,2.985953579124979,0.014998255385525175,20044994.9186301,0.06500209199450639,0.0,0.04059024979119653,nan
adaptive_rho,1.0,2.5825706756310456e-06,3.019455999723375,0.037430310437468244,20043349.661090694,0.06798023500296074,0.0,0.04518902224975287,nan
