sigma_bar,success_mean,success_std,rmse_ee_mean,rmse_ee_std,total_cost_mean,total_cost_std,solve_time_mean_ms_mean,solve_time_mean_ms_std,slack_inf_max_mean,slack_inf_max_std,Kopt_mean_mean,Kopt_mean_std,sigma_min_Hu_min_mean,sigma_min_Hu_min_std,sigma_min_Mk_repr_mean,sigma_min_Mk_repr_std
0.2,1.0,0.0,0.041991776679074784,0.0029765144743825107,0.03152699009796915,0.004413930556082734,180.91258107994994,1.8250591988984222,0.0037443103215195664,0.0012015853889835862,68.06916666666666,0.15267066952539837,,,0.20278190021343492,0.00025017229531302767
0.3,1.0,0.0,0.04606452772696895,0.004207564874616162,0.03741920476093918,0.006306775722323109,229.91170966842523,3.62615800638962,0.005725015214565229,0.003833722647018493,103.54583333333333,0.34125076312491215,,,0.30232335655921305,0.00020861744817800594
0.4,1.0,0.0,0.052604691890575726,0.012820535268054444,0.049137032617047306,0.02291405273093575,338.9669551715876,20.17051535710686,0.0028878202582374554,0.0017551098158733636,152.65,1.325782787639054,,,0.4018251002972469,6.586945162204323e-05
0.45,1.0,0.0,0.04637971640857433,0.0048697124155256425,0.03763911829302902,0.0075127599375767054,302.1791570856779,2.0780348145646665,0.0005980848219278478,6.0500990284580134e-05,176.03666666666666,0.2543660420208085,,,0.4519209480555781,6.723635003608332e-05
0.5,1.0,0.0,0.057607900022377416,0.011343811027495815,0.057411356116356366,0.020873967328085916,309.3570538282317,3.743947091029885,0.004432558507733916,0.0028001479490228527,198.61249999999998,3.1493610463076425,,,0.5016000321986188,7.51877101399064e-05
0.55,1.0,0.0,0.049980357240139266,0.007800714183669622,0.04349478604552076,0.012447567904963958,333.54935291281436,8.929044616353348,0.005490262926110791,0.002622592436602359,226.94500000000002,0.4219226824905253,,,0.5517819965810064,9.195047251336949e-07
0.6,1.0,0.0,0.055991619640649276,0.003935157449129661,0.05315369577305724,0.0070525125104047934,320.1258108303106,8.532344902576556,0.007855675333413687,0.0003150398390174741,254.5275,1.5285368821196361,,,0.6013214977671183,8.984626278699473e-05
0.65,1.0,0.0,0.056116173675716134,0.004209838383292937,0.053298373819314626,0.007624183305663648,271.5587514184881,8.782067240981126,0.005810418299850836,0.002386178714888905,282.48499999999996,2.4386433216032044,,,0.6512758870495068,6.056511254135885e-05
0.7,1.0,0.0,0.05301176145672933,0.008374807889149115,0.048384806122708325,0.01434496882672075,281.56990699935704,24.58901829328567,0.009089128716392168,0.00432347067370635,312.6358333333333,2.4106240547487663,,,0.7013184934617347,3.194717631435029e-05
0.8,1.0,0.0,0.05481688355126385,0.003711151367703948,0.05088992032441367,0.0065201885551066695,321.62421741891495,24.933692072228315,0.014607665240836438,0.006569643336022123,380.0016666666667,3.8632259296258114,,,0.801126258265401,1.861359155511582e-05
