rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.3,10,2.8395339489195165e-06,185292.0814451795,1.4425378279989745,0.014456560932593912,20046534.962353848,0.04164824537688957,0.2,0.030378194439407154,7.353003175515317,144.06084687332623,831.35
0.4,10,2.8395339489195165e-06,235159.59405940835,1.6349752303278362,0.012764478208586186,20046534.962353848,0.04208118129030371,0.2,0.03114993916932786,11.478484090502366,154.0880108741112,1198.85
0.5,10,2.8395339489195165e-06,281765.1842472684,1.8615461756943434,0.006197687333886794,20045779.359022997,0.03938488450068285,1.0,0.02750926880166437,5.477125848170555,116.94642399990698,1676.6
0.6,10,2.8395339489195165e-06,299573.9682212041,1.8796617877329473,0.006473778476426297,20045779.359022997,0.0389592800927448,1.0,0.02670464114142377,4.376685273276915,115.27981112638372,1759.9
0.7,10,2.780009137327619e-06,342342.90175046405,1.896000453447792,0.004336099043992155,20045132.123177897,0.039218431693376424,1.0,0.02710196012403541,4.102756976263547,121.78069349713041,1806.45
0.8,10,2.780009137327619e-06,346705.16827184055,1.8992738054798448,0.005305846956205535,20045132.123177897,0.038900146688248156,1.0,0.026674486227685035,5.543414056771178,122.67417499926523,1833.4
0.9,10,2.780009137327619e-06,387012.10544001963,1.90915682740071,0.0033794556093828666,20045132.123177897,0.03901081883240709,1.0,0.02677437691147521,3.833015240239071,120.29929637443274,1853.0
1.0,10,2.780009137327619e-06,408557.66650244396,1.9171776104140728,0.004808188633080035,20045132.123177897,0.039095127345692524,1.0,0.027035664968600347,4.307392253024694,131.36810624724603,1855.45
1.5,10,2.780009137327619e-06,456959.029162904,1.946303328323081,0.004212288023460477,20045132.123177897,0.038913175645259576,1.0,0.026947346962742282,4.407123185741522,152.70328375234385,1914.25
