mode,seed,K,rho,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,40,0.3,400,838.7,927530.31,2.6920295148918735e-06,215469.6486524172,1.4513253348403055,0.0020675821083810542,0.00015644954388169637,20046751.176192205,0.00016445021372433786,0.005,0.04193621244208979,0.09779995894918227,0.18933254054304896,0.015390853706697278,0,3.3180633146781027,7.027429895209172,0.8395779585851822,0.0025,0.030939486337445806,1.1237099019320108e-05,1.3978814767738975e-05,142.9664954994223,57186.59819976892,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.3,400,824.0,921984.0,3.1279908395840227e-06,180617.9373102402,1.4251943979920447,0.01352755937679192,0.0002079810091554115,20044623.035249166,0.00043824427027549975,0.01,0.037271569027434295,0.08537971734953458,0.1845795350613701,0.015307256380773657,0,3.1390051929209264,6.578135123168592,0.7544270708000148,0.0,0.024714570685291076,9.995894826733693e-06,1.2176837913603021e-05,148.54049524990842,59416.19809996337,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.3,400,819.1,920039.1900000003,2.662349751311362e-06,183125.32615411273,1.4568994610827812,0.033878030075002695,0.0004048403384340639,20047681.02639927,0.00011146451518310533,0.0275,0.042768983464506125,0.09826927836782749,0.1965072841060796,0.014834562872825932,0,3.531078964871633,7.678576455821461,0.609408880371318,0.0025,0.03209992853606998,1.1112337473137217e-05,1.369446682705705e-05,146.79616324487142,58718.46529794857,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.3,400,936.7,953461.1100000003,2.7627643344126034e-06,196301.3415653517,1.553485600484572,0.017301663510477946,0.00037676158949212003,20047712.155505925,0.00022414240450385856,0.0325,0.04550450706597366,0.0950185220722842,0.2005980452050341,0.030935299892361566,1,5.662580942691299,11.866733764385803,0.7932975555122929,0.0025,0.0366449283954406,1.3508892623465642e-05,1.839786020548027e-05,139.5153337510419,55806.13350041676,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.3,400,784.8,905080.9599999998,5.3366761226917496e-05,85356.0312238925,1.4444989257034273,0.010494181804113021,0.00019743244607877574,20053975.928511295,0.00012444557980571672,0.01,0.03923817586986369,0.09328994086246034,0.18075376050906805,0.015182594104426891,0,2.9983549849658724,6.215395453100899,0.8039597802033649,0.0025,0.027739607972874135,1.0424541815075716e-05,1.290516732004127e-05,125.60906625119969,50243.62650047988,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
adaptive_rho,5,40,0.3,400,858.3,934253.11,2.8818139575963987e-06,217883.0823274696,1.4384806274505582,0.006947886151484698,0.00020549096578006493,20044343.28994311,0.0003909023047552218,0.01,0.04133330534831894,0.09842299694971213,0.18032128630000863,0.014918079239507085,0,3.4666354387644454,8.57063439586966,0.8910273527815448,0.0,0.02964132827069431,1.1107932585968358e-05,1.3668714546955198e-05,143.47979999904055,57391.91999961622,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
adaptive_rho,6,40,0.3,400,794.6,909594.8400000002,2.708504552474448e-06,199661.0046861725,1.399647933859884,0.013802311251234248,0.00020094168810918747,20046318.748515494,0.00012547554265353322,0.01,0.04414493430205723,0.10164284645007271,0.19056018734854613,0.015401165410313434,0,2.3487023660350586,4.640498936115891,0.6159061457986078,0.0025,0.03354178294271668,1.1757645864754192e-05,1.4657812244083879e-05,150.33487324923044,60133.949299692176,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
adaptive_rho,7,40,0.3,400,838.7,927530.31,3.0937382966292537e-06,184848.31355955172,1.4405767302945218,0.04166512294687624,0.0003452893093799087,20043938.3538954,0.00036144554937312957,0.0175,0.03795085861731335,0.08708654147280993,0.18291799181937143,0.015223341586356227,0,3.4730435704620373,8.282710818898842,0.9153085412812234,0.005,0.025598008980956696,1.0277339450696149e-05,1.2721389738996066e-05,144.6418937476119,57856.75749904476,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
adaptive_rho,8,40,0.3,400,951.4,955694.0399999998,3.42975152589026e-06,185735.84933080728,1.5269012116710843,0.015110810613953574,0.00035008411803698293,20054863.718892325,0.00041799641623792587,0.0325,0.04721192796170017,0.10139160576941225,0.18784995195697984,0.03204372593431402,1,4.623082974712949,11.08192821412818,0.7508519970030644,0.0025,0.038533291360133254,1.4542999837260505e-05,1.9904298468631898e-05,139.21800974872895,55687.20389949158,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
adaptive_rho,9,40,0.3,400,779.9,902751.9899999999,2.7972539402426344e-06,176902.74786082003,1.4090809752052125,0.035725241562573104,0.0002936980628829386,20045239.969530504,0.00012035770313919219,0.0175,0.04136027831168935,0.10015565294548301,0.1845092985691772,0.014988031643051033,0,2.572018791823189,5.291210909017757,0.7089942941501413,0.0,0.0298169025413685,1.1008470726668948e-05,1.3599613585220847e-05,146.59744875039905,58638.97950015962,logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_K040_rho0.3_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
