scope,x,y,pearson,spearman,n
run,sigma_Mk_min,rmse_ee,0.5593998863566958,0.5834703951908469,100
run,sigma_Mk_min,total_cost,0.5340480885831318,0.5834703951908469,100
run,sigma_Mk_min,ISE,0.5869147000986593,0.5984311745547148,100
run,sigma_Mk_min,IAE,0.5506352115482755,0.6034181010093375,100
run,sigma_Mk_min,solve_ms_mean,-0.13077864023792996,-0.27435656936314695,100
run,sigma_Mk_min,solve_ms_p95,0.19391651456958592,0.23124339417750958,100
run,sigma_Mk_min,slack_inf_max,-0.45061292172006295,-0.5990385658362978,100
run,sigma_Mk_min,slack_inf_mean,0.08958449165924141,-0.19449013173028232,100
step,sigma_min_Mk,solve_ms,-0.04601834369522876,-0.04764646426204173,20000
step,sigma_min_Mk,slack_inf,0.03744248530743154,0.11418307653229366,20000
step_seed_0,sigma_min_Mk,solve_ms,-0.019368533147904446,0.020433439815793545,4000
step_seed_0,sigma_min_Mk,slack_inf,0.06434445914047152,0.1385479636990925,4000
step_seed_1,sigma_min_Mk,solve_ms,-0.027190359687927823,-0.023519439743037107,4000
step_seed_1,sigma_min_Mk,slack_inf,0.07137914480842578,0.15761021244787934,4000
step_seed_2,sigma_min_Mk,solve_ms,-0.04358377822991089,-0.06445523588000462,4000
step_seed_2,sigma_min_Mk,slack_inf,0.01757363971711035,0.12373809345233633,4000
step_seed_3,sigma_min_Mk,solve_ms,-0.029399001563831066,-0.04489771511088443,4000
step_seed_3,sigma_min_Mk,slack_inf,0.0711650407461578,0.04792171601354721,4000
step_seed_4,sigma_min_Mk,solve_ms,-0.11349695365643658,-0.11501755727947785,4000
step_seed_4,sigma_min_Mk,slack_inf,-0.0857102015430371,0.07221441057074048,4000
