K,seed,t,sigma_min_Mk,solve_ms,slack_inf,status
10,0,0,0.20705769290162468,70.39130013436079,0.00021146934775693663,optimal
10,0,1,0.19595004688312787,61.83200003579259,0.0002486672147334579,optimal
10,0,2,0.19382155734878023,70.6137998495251,0.00024384322050941985,optimal
10,0,3,0.20270181123715136,53.7178001832217,0.0002530120488802617,optimal
10,0,4,0.20320527160213103,91.02330007590353,0.0006643660225420622,optimal_inaccurate
10,0,5,0.1951544022247027,89.12919997237623,0.0001539852023579147,optimal_inaccurate
10,0,6,0.17890820941435612,73.20500002242625,0.00022334517482238667,optimal
10,0,7,0.20199953508633253,86.64759993553162,0.0008362059152905401,optimal_inaccurate
10,0,8,0.1989745712788255,85.25969996117055,0.0012593126995203551,optimal
10,0,9,0.2060729663144029,59.036900056526065,0.0026308999885275705,optimal
10,0,10,0.21957544735367843,84.45630013011396,0.002299722856820146,optimal
10,0,11,0.22734947765812044,89.95860000140965,0.002672789935807012,optimal_inaccurate
10,0,12,0.18603246003959398,67.5676001701504,0.0021544251010260965,optimal
10,0,13,0.2025910770105047,59.17299981229007,0.009835791880390056,optimal
10,0,14,0.22633353602024864,71.20939996093512,0.00039607947749412933,optimal
10,0,15,0.209702744363744,59.48799988254905,0.0029940813965063625,optimal
10,0,16,0.22760426169370165,36.712100030854344,0.02218882671422006,optimal
10,0,17,0.21236759393966503,56.140500120818615,0.0035533476088739583,optimal
10,0,18,0.21523888955077558,65.39150001481175,0.03256683124447981,optimal
10,0,19,0.22651270964240972,56.46780016832054,0.5770310658527611,optimal
10,0,20,0.22834260856167335,58.59869997948408,0.0007016141365477058,optimal
10,0,21,0.2226092144117437,56.80350004695356,0.004722250502225054,optimal
10,0,22,0.21011394790392163,56.81810015812516,0.013557208952141282,optimal
10,0,23,0.22068434841163068,55.741799995303154,0.047461626779014526,optimal
10,0,24,0.2093738732221987,56.724200025200844,0.007746290902689104,optimal
10,0,25,0.21793080135912135,77.13899994269013,0.058315672258000335,optimal
10,0,26,0.22781664005960495,72.82659993506968,0.003210629626508389,optimal
10,0,27,0.23496211434732753,57.291300036013126,0.008581494415645317,optimal
10,0,28,0.21736549080916473,58.74729994684458,0.006383430628722408,optimal
10,0,29,0.23485864964095124,89.26439983770251,0.570800060169234,optimal_inaccurate
10,0,30,0.22409308210275972,76.3345998711884,0.006077149832375677,optimal
