rho,runs,median_k_opt_mean,median_k_opt_var,median_sigma_min_Ag,median_sigma_min_Hu,median_slack_max,median_slack_mean,median_slack_fail_rate,median_total_cost,median_mean_solve_time_ms,median_total_solve_time_ms,median_final_tracking_error,median_steady_state_error_mean,p10_total_cost,p90_total_cost
0.3,1,123.2,14709.76,2.6156425516997616e-07,0.01578522608127377,0.02521009527405586,0.0005440013046548159,0.0975,0.09737115678092496,306.7630657504924,122705.22630019695,0.019635645516734305,0.01611982866047897,0.09737115678092496,0.09737115678092496
0.6,1,166.1,16884.789999999997,2.6156425516997616e-07,0.012979897072327927,0.04330073178824073,0.0004685062684855608,0.0575,0.10185863004586906,386.91373175024637,154765.49270009855,0.02301702171057301,0.023666408382479003,0.10185863004586906,0.10185863004586906
0.9,1,186.25,16635.9375,2.6156425516997616e-07,0.020411097033100806,0.002594435440553097,0.0003019208773291742,0.055,0.09843329599456437,426.3004265004565,170520.1706001826,0.010554029437753687,0.013902567008891416,0.09843329599456437,0.09843329599456437
