rho,seed,steps,k_opt_mean,k_opt_var,sigma_min_Ag,sigma_min_Hu,slack_max,slack_mean,slack_fail_rate,total_cost,ISE,IAE,mean_solve_time_ms,total_solve_time_ms,final_tracking_error,steady_state_error_mean,npz_path
0.3,0,400,123.2,14709.76,2.6156425516997616e-07,0.01578522608127377,0.02521009527405586,0.0005440013046548159,0.0975,0.09737115678092496,2.141749096838794e-05,2.4038566329264476e-05,306.7630657504924,122705.22630019695,0.019635645516734305,0.01611982866047897,logs/reacher_adaptive_k_multigoal\run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed000.npz
0.6,0,400,166.1,16884.789999999997,2.6156425516997616e-07,0.012979897072327927,0.04330073178824073,0.0004685062684855608,0.0575,0.10185863004586906,2.2581163637479563e-05,2.683785613649987e-05,386.91373175024637,154765.49270009855,0.02301702171057301,0.023666408382479003,logs/reacher_adaptive_k_multigoal\run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed000.npz
0.9,0,400,186.25,16635.9375,2.6156425516997616e-07,0.020411097033100806,0.002594435440553097,0.0003019208773291742,0.055,0.09843329599456437,2.210630177434005e-05,2.570341767630958e-05,426.3004265004565,170520.1706001826,0.010554029437753687,0.013902567008891416,logs/reacher_adaptive_k_multigoal\run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed000.npz
