rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.1,5,3.2479062891632296e-05,64198.78287094348,2.341987649408083,0.0021040094286715475,20054479.24627411,0.07598575305063932,0.0,0.05318067518806531,10.154894849024856,217.41094100114424,56.8
0.2,5,1.2629652263602351e-05,96789.54651687594,2.5193868507314288,0.00448514664608074,20054479.24627411,0.07744525350831914,0.0,0.053452049388642224,17.628069061412333,266.520077502355,73.6
0.3,5,3.2197504254116048e-06,293015.303345253,2.5972661668422656,0.005230878972519603,20044287.46458117,0.07398426617708996,0.0,0.04780698610715024,16.01091888778016,470.0273575008032,114.2
0.4,5,3.1789949551432286e-06,248754.23502366702,2.758162975847968,0.010622747261042037,20044287.46458117,0.06912832450171828,0.0,0.04564570054222328,23.402286323366305,336.28162300010445,96.0
0.5,5,2.5825706756310456e-06,356234.94538787496,2.913610216444083,0.004781739528960636,20042940.591843378,0.06905865084733001,0.0,0.04450666767660827,19.63209145076432,501.23360500176204,147.8
0.6,5,2.5825706756310456e-06,441918.8796933495,2.9167753074330447,0.00487541241506676,20040231.753658466,0.07015851358046696,0.0,0.04574519264016999,21.744990362284927,626.1073419987224,182.8
0.7,5,2.5825706756310456e-06,439861.613383304,2.9183942801067992,0.01391718924749926,20042940.591843378,0.06847237818320766,0.0,0.04333638412312801,21.613551411734836,544.6168744986062,167.4
0.8,5,2.5825706756310456e-06,491070.8395023686,3.006344942685532,0.008845846180151853,20043349.661090694,0.06586457172476423,0.0,0.040845912300484885,21.986936440492578,641.0633624985348,188.4
0.9,5,2.5825706756310456e-06,538735.0532391215,2.985953579124979,0.014998255385525175,20044994.9186301,0.06500209199450639,0.0,0.04059024979119653,20.023187571568194,646.2408199999481,203.8
1.0,5,2.5825706756310456e-06,529228.1146255387,3.019455999723375,0.037430310437468244,20043349.661090694,0.06798023500296074,0.0,0.04518902224975287,16.068070188437886,725.0922095007263,215.0
