sigma_bar,success_mean,success_std,rmse_ee_mean,rmse_ee_std,total_cost_mean,total_cost_std,solve_time_mean_ms_mean,solve_time_mean_ms_std,slack_inf_max_mean,slack_inf_max_std,Kopt_mean_mean,Kopt_mean_std,sigma_min_Mk_repr_mean,sigma_min_Mk_repr_std
0.2,1.0,0.0,0.053722827233184466,0.006916417565830844,0.049676525406658796,0.011982307458137203,287.84605974894174,17.530955732449613,0.001725522311933833,0.0022030066105339975,180.0,0.0,0.4613519415721721,0.001396717632717364
0.3,1.0,0.0,0.049716462969527336,0.0066222716087149126,0.043003334393904004,0.010503718652224964,284.30433608436334,4.5830777363094235,0.0009790782982697667,0.00037285108524517154,180.0,0.0,0.461396925981519,0.0013772270046194485
0.4,1.0,0.0,0.05240204976324523,0.011296200754364827,0.04826083549475346,0.01918137221199522,291.8190864956705,13.931473654576827,0.0009283182963772,0.0005664274556733712,180.0,0.0,0.46065425418423933,0.0021078166719756563
0.45,1.0,0.0,0.04411098558244153,0.007587389751481247,0.034923808356176034,0.010248086905457582,298.28466966263176,7.635212698438352,0.005960111032366,0.00719219755549294,180.0,0.0,0.4630339496099551,0.002089932205325107
0.5,1.0,0.0,0.04044031209520573,0.00652482697902975,0.029999413505164566,0.008763238927183987,221.8230961690036,3.7685221092002688,0.025183552778582835,0.02237487021038322,180.0,0.0,0.45418632442175716,0.002111149930643794
0.55,1.0,0.0,0.040425404660037766,0.006501381257570572,0.02998140327392663,0.008726216066578023,218.3690674189711,4.269350426760878,0.07006290210933362,0.10252154823582246,180.0,0.0,0.453990682961031,0.002170558283531907
0.6,1.0,0.0,0.04042012113250567,0.006488355046399379,0.029970452859042068,0.008712975107125105,224.86772250267677,5.85870732822267,0.015295994708154367,0.00939280224291608,180.0,0.0,0.4541283436888682,0.002031848595374019
0.65,1.0,0.0,0.040445023538793735,0.006482569013465811,0.0300019829916616,0.008707121973232307,220.357273001185,8.267288130072469,0.021103559740704533,0.024521957900203332,180.0,0.0,0.4540635839926897,0.0019683430343614933
0.7,1.0,0.0,0.04043903163159023,0.006483447633768031,0.029994952908799968,0.008708748355072028,221.11193791555706,6.0978903277294405,0.012156774842806833,0.006012832620881269,180.0,0.0,0.4538947954628747,0.002061061709088394
0.8,1.0,0.0,0.04043605995922057,0.006491923573726273,0.029992273352378335,0.008719627919168197,219.4500792468898,0.7415415852055747,0.007466163222650233,0.008278319387521549,180.0,0.0,0.4539478744857101,0.002315722525755886
