sigma_bar,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max,group
0.1,0.1409271788773563,0.1409271788773563,0.1409271788773563,0.1409271788773563,0.1409271788773563,0.20543159191441646,0.20543159191441646,0.20543159191441646,0.20543159191441646,0.20543159191441646,178.9413582952693,178.9413582952693,178.9413582952693,178.9413582952693,178.9413582952693,20.0,20.0,20.0,20.0,20.0,0.1515045145459087,0.1515045145459087,0.1515045145459087,0.1515045145459087,0.1515045145459087,2.971417876243397e-05,2.971417876243397e-05,2.971417876243397e-05,2.971417876243397e-05,2.971417876243397e-05,3.828923827860124e-05,3.828923827860124e-05,3.828923827860124e-05,3.828923827860124e-05,3.828923827860124e-05,4.96358901427998,4.96358901427998,4.96358901427998,4.96358901427998,4.96358901427998,0.275,0.275,0.275,0.275,0.275,N_loc=100
0.2,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,714.7357406327501,714.7357406327501,714.7357406327501,714.7357406327501,714.7357406327501,83.095,83.095,83.095,83.095,83.095,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0006838968597336002,0.0006838968597336002,0.0006838968597336002,0.0006838968597336002,0.0006838968597336002,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.30000000000000004,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,846.6713369637728,846.6713369637728,846.6713369637728,846.6713369637728,846.6713369637728,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.4,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,793.0997738940641,793.0997738940641,793.0997738940641,793.0997738940641,793.0997738940641,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.5,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,800.0858377898112,800.0858377898112,800.0858377898112,800.0858377898112,800.0858377898112,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.6,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,836.4173436211422,836.4173436211422,836.4173436211422,836.4173436211422,836.4173436211422,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.7000000000000001,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,777.7151311887428,777.7151311887428,777.7151311887428,777.7151311887428,777.7151311887428,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.8,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,823.7394323898479,823.7394323898479,823.7394323898479,823.7394323898479,823.7394323898479,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.9,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.1322716155469829,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,810.8584672398865,810.8584672398865,810.8584672398865,810.8584672398865,810.8584672398865,100.0,100.0,100.0,100.0,100.0,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0007911974810523284,0.0,0.0,0.0,0.0,0.0,N_loc=100
0.1,0.1619169494110201,0.1619169494110201,0.1619169494110201,0.1619169494110201,0.1619169494110201,0.1473743084812922,0.1473743084812922,0.1473743084812922,0.1473743084812922,0.1473743084812922,173.6041656555608,173.6041656555608,173.6041656555608,173.6041656555608,173.6041656555608,20.0,20.0,20.0,20.0,20.0,0.1283616630938897,0.1283616630938897,0.1283616630938897,0.1283616630938897,0.1283616630938897,2.477993424503358e-05,2.477993424503358e-05,2.477993424503358e-05,2.477993424503358e-05,2.477993424503358e-05,3.1833607128322244e-05,3.1833607128322244e-05,3.1833607128322244e-05,3.1833607128322244e-05,3.1833607128322244e-05,4.036564841211039,4.036564841211039,4.036564841211039,4.036564841211039,4.036564841211039,0.32,0.32,0.32,0.32,0.32,N_loc=300
