group,x,metric,median,p10,p90,n
fixedK,20,total_cost,0.12281729532554429,0.09248430935292333,0.18370167094487483,5
fixedK,20,rmse_ee,0.12081394700930123,0.10208591704550879,0.14778793853525765,5
fixedK,20,success,0.0,0.0,0.0,5
fixedK,20,slack_max,0.2920529560706383,0.07996535546578713,1.7968286292545113,5
fixedK,20,sigma_min_Ag,0.07091134707305954,0.05864196459928595,0.07541856900203665,5
fixedK,20,solve_ms,85.40587499941466,82.88544119877042,91.26808430149686,5
fixedK,30,total_cost,0.061308398455133147,0.04903026548076055,0.07779464601952545,5
fixedK,30,rmse_ee,0.08442452678430581,0.07547806456616785,0.09556786163579072,5
fixedK,30,success,0.0,0.0,0.0,5
fixedK,30,slack_max,0.03145099941150728,0.017435063822021143,0.05950250297214259,5
fixedK,30,sigma_min_Ag,0.024273047680122648,0.019752512907337344,0.02450759449694588,5
fixedK,30,solve_ms,114.02332700032275,113.90284840128152,115.3833890996757,5
fixedK,40,total_cost,0.0309166647666887,0.028648548682433727,0.04555259079419413,5
fixedK,40,rmse_ee,0.05826118010883833,0.05550245384164279,0.07254323585221094,5
fixedK,40,success,0.0,0.0,0.6000000000000001,5
fixedK,40,slack_max,0.008817873341344724,0.00490552143728765,0.02539282290634646,5
fixedK,40,sigma_min_Ag,6.045440189678281e-05,3.525396716455496e-05,0.00012436636902320581,5
fixedK,40,solve_ms,141.4347045024624,137.5041943997494,152.50581009982852,5
fixedK,50,total_cost,0.02896931151301455,0.025725879991855796,0.030110882668577976,5
fixedK,50,rmse_ee,0.0560830098753596,0.05300845285293955,0.05818013699808768,5
fixedK,50,success,0.0,0.0,0.0,5
fixedK,50,slack_max,0.013125644785338007,0.007487705946693911,0.021255811620632687,5
fixedK,50,sigma_min_Ag,1.3050157229463014e-09,1.0041573434440408e-09,2.931475121016562e-09,5
fixedK,50,solve_ms,151.39762149949092,146.5195073003997,160.41723709949292,5
fixedK,60,total_cost,0.025523686126167094,0.023232257252192967,0.02765664097574489,5
fixedK,60,rmse_ee,0.05296807026315444,0.05039767707980054,0.05489739415753143,5
fixedK,60,success,0.0,0.0,0.0,5
fixedK,60,slack_max,0.004674697161443102,0.0014359713466507642,0.007397286222878639,5
fixedK,60,sigma_min_Ag,3.599473330444121e-08,2.2717123297256823e-08,4.863848950904198e-08,5
fixedK,60,solve_ms,199.316260998894,198.68805269995937,204.3301207992481,5
fixedK,70,total_cost,0.02304244765219375,0.021686974272197044,0.02784405165012691,5
fixedK,70,rmse_ee,0.050118224296811335,0.04795959839122557,0.054914048078583536,5
fixedK,70,success,0.0,0.0,0.0,5
fixedK,70,slack_max,0.0038818967948936467,0.0018529458455376882,0.01280009789199961,5
fixedK,70,sigma_min_Ag,4.875803638188224e-08,4.221341577061065e-08,7.455194846475963e-08,5
fixedK,70,solve_ms,189.2465534983785,180.4180591001641,196.79569449991686,5
fixedK,80,total_cost,0.02244100459463296,0.02100995590969313,0.02436111980792406,5
fixedK,80,rmse_ee,0.048961409048921524,0.046738285237723665,0.05023700573871997,5
fixedK,80,success,1.0,1.0,1.0,5
fixedK,80,slack_max,0.0029115549041585998,0.0016575471047084135,0.007432074836518304,5
