rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.1,10,1.5401114478532523e-05,145166.82383671205,1.1706509496497712,0.019388577839328066,20055895.96822035,0.057974837016488076,0.0,0.02930228058428734,4.3471567982445665,219.34712500005844,65.9
0.2,10,3.6435019067554287e-07,931369.393780727,1.2710897828653853,0.007049385364987646,20052740.684771247,0.054337974605053865,0.0,0.026659229560834236,5.0013172543768505,320.49169774749316,111.4
0.3,10,2.786906952248971e-07,1161693.8538943033,1.2939515937604835,0.00879706928705017,20051979.929566283,0.052863840007955326,0.0,0.024939262931386298,4.268343926673792,422.33734150082455,142.9
0.4,10,2.786906952248971e-07,1336688.495445034,1.3394954285112437,0.00955828620042582,20051979.929566283,0.05265186499969214,0.1,0.02528053675617756,4.772343298339791,535.1047260005726,181.4
0.5,10,2.786906952248971e-07,1766663.1263851966,1.4579450676505776,0.002152259269502988,20051655.043629956,0.05184608220542845,0.8,0.02465813949305881,4.483106734401746,629.7395314992173,248.6
0.6,10,2.786906952248971e-07,2015796.549276411,1.4867438738754362,0.0016290776601560915,20051655.043629956,0.05082951505821214,1.0,0.02369280195850336,3.7314349353417584,576.933035999682,278.0
0.7,10,2.7176759665532564e-07,2393298.353410694,1.5101225894699475,0.001568065947018749,20051214.721746683,0.04940649876800434,1.0,0.022381076547801318,3.579384328175224,584.6806067482976,285.0
0.8,10,2.7176759665532564e-07,2365801.924743063,1.5199610543541364,0.0014779265740084203,20051214.721746683,0.04873995293983874,1.0,0.022261692796111322,2.6848753929823514,595.4807257506764,289.9
0.9,10,2.7176759665532564e-07,2357733.2328631803,1.525930687984083,0.0019684079283380793,20051214.721746683,0.04738459517172676,1.0,0.021189638165599045,2.839817741097743,590.3809770001681,294.8
1.0,10,2.7176759665532564e-07,2377652.827433962,1.5406868477793476,0.0014083522701661625,20051214.721746683,0.047842670332184964,1.0,0.02150033288717438,2.330342206820844,607.4454989982769,296.9
