file,mode,noise,K,rho,cost,rmse,success,slack,sigma,solve_ms,sse,reach_time,reach_hit
run_adaptive_rho_K050_rho0.3_noise0.005_Kmin50_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,50.0,0.3,0.043256946467914795,0.028715966112834734,1.0,0.018506403992129064,2.6609920161647264e-07,2319.964675999169,0.015232519013692755,106.0,1.0
run_adaptive_rho_K050_rho0.6_noise0.005_Kmin50_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,50.0,0.6,0.043256946467914795,0.028715966112834734,1.0,0.018506403992129064,2.6609920161647264e-07,2234.147472497328,0.015232519013692755,106.0,1.0
run_adaptive_rho_K050_rho0.9_noise0.005_Kmin50_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,50.0,0.9,0.043256946467914795,0.028715966112834734,1.0,0.018506403992129064,2.6609920161647264e-07,2279.751694165849,0.015232519013692755,106.0,1.0
run_adaptive_rho_K050_rho1.5_noise0.005_Kmin50_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,50.0,1.5,0.04270457520287184,0.028716323748279093,1.0,0.018506403992129064,2.6609920161647264e-07,2273.3056171685653,0.015732676837189433,106.0,1.0
run_adaptive_rho_K050_rho1_noise0.005_Kmin50_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,50.0,1.0,0.04391027781403563,0.028642082371023014,1.0,0.01784594703827987,2.6609920161647264e-07,2295.45627399988,0.01882680130423464,105.0,1.0
