K,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
20.0,5,0.07091134707305954,94.37662249027882,1.7117842122877465,0.2920529560706383,20059926.608395725,0.12081394700930123,0.0,0.12281729532554429,67.72399205434665,85.40587499941466,20.0
30.0,5,0.024273047680122648,273.56710790296654,1.1523872485974074,0.03145099941150728,20058845.632568423,0.08442452678430581,0.0,0.061308398455133147,12.834100800770987,114.02332700032275,30.0
40.0,5,6.045440189678281e-05,19132.050645128496,1.1751169089824107,0.008817873341344724,20056785.663657285,0.05826118010883833,0.2,0.0309166647666887,9.864705233106644,141.4347045024624,40.0
50.0,5,1.3050157229463014e-09,301626834.1814524,1.2361527992374446,0.013125644785338007,20056622.707840707,0.0560830098753596,0.0,0.02896931151301455,2.635985313601783,151.39762149949092,50.0
60.0,5,3.599473330444121e-08,18172431.976002757,1.247079983924861,0.004674697161443102,20055673.98039312,0.05296807026315444,0.0,0.025523686126167094,2.2151127081579047,199.316260998894,60.0
70.0,5,4.875803638188224e-08,11666770.002675192,1.249094106932831,0.0038818967948936467,20055534.358135447,0.050118224296811335,0.0,0.02304244765219375,1.8349503897904642,189.2465534983785,70.0
80.0,5,6.249069404392242e-08,8406531.275439668,1.3326126137931213,0.0029115549041585998,20054886.348504115,0.048961409048921524,1.0,0.02244100459463296,2.381363723070997,259.2384995002067,80.0
90.0,5,7.482492387718788e-08,6506819.052146187,1.3322044223883593,0.0015275651936000182,20053763.009964835,0.04795751296388313,1.0,0.021940632353372666,1.5398705463487716,289.75073850073386,90.0
100.0,5,7.876489241542676e-08,6283087.161063547,1.3510345308512766,0.0016832679192947575,20054782.706748784,0.045847278873808205,1.0,0.02094104311231987,1.9146610013668561,308.8131005008472,100.0
110.0,5,9.441386667177924e-08,5980685.579741921,1.3630959608098403,0.0013271222642927231,20054905.814690094,0.04767286225844566,1.0,0.022122089989915165,1.5283897105157394,301.0067679968779,110.0
