mode,seed,K,rho,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
fixed_k,0,20,0.005,200,20.0,0.0,0.07278009936338302,94.37662249027882,1.6783675053567806,0.06707026746952086,0.003045719407962324,20059286.862106707,0.00012836125619364682,0.075,0.13398896057852985,0.1827183485304648,0.1909838144553672,0.07951465805082443,0,27.766050813250427,75.39195994776931,1.3066307232572065,0.055,0.15063150095585476,2.621565890264235e-05,3.443824233962365e-05,82.02497499791207,16404.994999582414,logs/reacher_cdc_fixed\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed000.npz
fixed_k,1,20,0.005,200,20.0,0.0,0.054002204225293976,90.56585639304708,1.9451313764935616,2.788701222613793,0.020901865554313014,20057217.601592086,0.0003055630273587136,0.05,0.09897826001048479,0.16110613673722643,0.18508329007727697,0.11560526621216016,0,28.22087350407846,67.72399205434665,1.4141613885751914,0.11,0.08832079281694093,1.896299524821499e-05,2.31040140993494e-05,84.17614050005795,16835.22810001159,logs/reacher_cdc_fixed\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed001.npz
fixed_k,2,20,0.005,200,20.0,0.0,0.07091134707305954,97.90925532778424,1.7558655410554425,0.2920529560706383,0.005361667839558421,20059926.608395725,0.00015681641777543813,0.065,0.10674740259804477,0.16159097781008616,0.1965072841060796,0.01939924755517649,0,29.757210036065807,80.33548218644721,1.3557985374892367,0.12,0.09872958415689694,1.9139465364193562e-05,2.406679314984463e-05,85.48310749873053,17096.621499746107,logs/reacher_cdc_fixed\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed002.npz
fixed_k,3,20,0.005,200,20.0,0.0,0.06560160516027391,93.38075188198755,1.7117842122877465,0.30901973921558823,0.009834521147171527,20098560.280392647,0.00011109224345657601,0.115,0.15698725717307618,0.20665390985757692,0.20838994865883428,0.120168263980238,0,22.024394898825655,58.09592020971067,1.4144547669323462,0.085,0.20574845093755487,3.040721400263897e-05,3.922635399747999e-05,85.40587499941466,17081.174999882933,logs/reacher_cdc_fixed\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed003.npz
fixed_k,4,20,0.005,200,20.0,0.0,0.07717754876113907,96.60040411291142,1.5344831050838037,0.09930798746018656,0.0020474589786368775,20065868.692770783,0.00016675646308968728,0.095,0.12081394700930123,0.1777720021413519,0.18075376050906805,0.1082722453144968,0,19.356263493468674,50.54154934569857,1.243696356658625,0.03,0.12281729532554429,2.3387485701527203e-05,2.9962946226051704e-05,95.12473550334107,19024.947100668214,logs/reacher_cdc_fixed\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed004.npz
fixed_k,0,30,0.005,200,30.0,0.0,0.01826338745698063,277.904876483755,1.4103858150173343,0.027585787355156356,0.0009128905259814451,20058845.632568423,0.00010309393935654288,0.075,0.0926427535209055,0.1459060515371378,0.18933254054304896,0.058917270115711635,0,10.910020149990094,28.38712478915659,1.3103865089622373,0.04,0.07517298881024313,1.6222847773712347e-05,2.0678212842496284e-05,114.02332700032275,22804.66540006455,logs/reacher_cdc_fixed\run_fixed_k_K030_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed000.npz
fixed_k,1,30,0.005,200,30.0,0.0,0.024661862285452273,273.56710790296654,1.1523872485974074,0.03145099941150728,0.0009246692071572937,20055765.9590963,0.00015085442801972854,0.115,0.08442452678430581,0.12862673973346944,0.1845795350613701,0.07018848950551364,0,6.3995376282335625,17.450136153421262,1.3024505494853431,0.005,0.061308398455133147,1.5654405889433788e-05,2.1046952139628745e-05,115.15941749996273,23031.883499992546,logs/reacher_cdc_fixed\run_fixed_k_K030_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed001.npz
fixed_k,2,30,0.005,200,30.0,0.0,0.024273047680122648,255.09935950855274,1.110769016317821,0.07802504148342584,0.0016164176759092433,20059344.043231323,0.00023456469723843857,0.12,0.09751793371238086,0.1483929250723701,0.1965072841060796,0.022210654736515255,0,5.093790322316481,12.834100800770987,0.9037999670651333,0.005,0.07954241749238032,1.829294361926724e-05,2.3817021132556275e-05,113.93802099948516,22787.604199897032,logs/reacher_cdc_fixed\run_fixed_k_K030_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed002.npz
fixed_k,3,30,0.005,200,30.0,0.0,0.024276192814186293,238.03561715823795,1.1592275903721556,0.010667914799931,0.0006395706522249819,20059561.628312703,2.9849853384063232e-05,0.09,0.07109950667653722,0.15071021362727557,0.2005980452050341,0.04773976063579761,0,5.791548773041242,12.00444523972028,0.9379499949201764,0.0,0.04341552056771386,1.2470335694467459e-05,1.6089111560830535e-05,115.53270349948434,23106.54069989687,logs/reacher_cdc_fixed\run_fixed_k_K030_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed003.npz
fixed_k,4,30,0.005,200,30.0,0.0,0.021986201082872418,297.191049488982,1.071225954177973,0.03171869520521768,0.0014524142263608198,20058412.490685027,9.192285111758706e-05,0.13,0.0820459014006138,0.14891118589131566,0.181032916622459,0.051539494734959224,0,4.894387168384773,11.38362458559711,0.8594585325593413,0.0,0.057452382850330594,1.4152745008210293e-05,1.842642092898935e-05,113.87940000247909,22775.880000495818,logs/reacher_cdc_fixed\run_fixed_k_K030_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed004.npz
