rho,median_k_opt_mean,success_rate,median_solve_ms,kmax_saturation_rate,mean_positive_dK,jump_freq
0.3,831.35,0.2,144.06084687332623,0.4095,578.2,0.295
0.4,1198.85,0.2,154.0880108741112,0.58125,471.38,0.2405
0.5,1676.6,1.0,116.94642399990698,0.834,145.53,0.07425
0.6,1759.9,1.0,115.27981112638372,0.88125,107.8,0.055
0.7,1806.45,1.0,121.7806934971304,0.90525,108.78,0.0555
0.8,1833.4,1.0,122.67417499926523,0.90925,104.37,0.05325
0.9,1853.0,1.0,120.29929637443274,0.92225,99.47,0.05075
1.0,1855.45,1.0,131.36810624724603,0.92625,74.97,0.03825
1.5,1914.25,1.0,152.70328375234385,0.95475,105.35,0.05375
