K,sigma_mk_min_mean,sigma_mk_min_var,sigma_mk_min_std,cost_mean,cost_var,cost_std,solve_mean_mean,solve_mean_var,solve_mean_std,K_opt_mean_mean,K_opt_mean_var,K_opt_mean_std,rmse_mean,rmse_var,rmse_std,ISE_mean,ISE_var,ISE_std,IAE_mean,IAE_var,IAE_std,slack_max_mean,slack_max_var,slack_max_std,solver_opt_rate_mean,solver_opt_rate_var,solver_opt_rate_std
10,0.26252746557458595,2.4056711754519128e-05,0.004904764189491593,0.30439907558891016,0.00018355786204723177,0.013548352742943762,59.47616040077992,8.897509478750766,2.9828693365199164,10.0,0.0,0.0,0.18275008349963479,7.111810353480929e-05,0.008433155016647641,3.4673422165454665e-05,3.042772768767078e-12,1.7443545421636847e-06,4.607921973028085e-05,4.812514348800451e-12,2.1937443672407348e-06,10.225527137721091,0.6296086322171522,0.7934788164892319,0.604,0.0008799999999999987,0.02966479394838263
60,0.13567229862408342,9.722682691755982e-05,0.009860366469739338,0.03677714480813431,0.00014541793936777826,0.012058936079429986,146.60153379687108,61.97221367970539,7.872243243174425,60.0,0.0,0.0,0.06371626943476236,0.00012089190433024734,0.010995085462616802,8.891059284903714e-06,6.031986234292487e-12,2.456010226829784e-06,1.204922944638378e-05,1.1794824122729203e-11,3.4343593467674875e-06,0.009517959132353383,0.00015236285888557157,0.012343535104886751,0.977,9.500000000000017e-05,0.009746794344808973
110,0.2156693292694262,4.9713757246027646e-05,0.00705079834104108,0.035816170903057845,3.0204783911660558e-05,0.005495887909306426,232.13923890166916,126.01682076161259,11.225721391590502,110.0,0.0,0.0,0.06353008597687107,2.8882514819057585e-05,0.005374245511609754,8.527222428070335e-06,1.305325435934824e-12,1.142508396439529e-06,1.157950859267522e-05,2.6470958264824223e-12,1.6269898052791918e-06,0.007305360265492243,2.0269962112051173e-05,0.004502217466099474,0.9640000000000001,0.00020499999999999991,0.01431782106327635
160,0.2693257273176489,6.478921980015864e-05,0.00804917510060246,0.04267282095111517,5.605377651364959e-05,0.007486907005810182,310.51016230206005,144.45892439502478,12.019106638807427,160.0,0.0,0.0,0.07015714927792424,4.4036473691536784e-05,0.006635998319133059,1.0157603353887744e-05,2.5620198462521383e-12,1.6006310774979156e-06,1.3765715097487335e-05,5.1132145350140924e-12,2.2612418125919423e-06,0.0008086065641331897,1.321233363914471e-07,0.0003634877389836514,0.999,4.9999999999998285e-06,0.0022360679774997513
210,0.32171764956269233,1.8818465374138324e-06,0.0013718041177273935,0.0477784161665913,4.6392951896462436e-05,0.0068112371781096,270.0222356999293,157.77358636259106,12.560795610254594,210.0,0.0,0.0,0.07472448626567081,3.238019831266546e-05,0.00569036012152706,1.1546274858475787e-05,1.8978279095093925e-12,1.3776167498652855e-06,1.563090932515969e-05,3.836109014673691e-12,1.958598737534999e-06,0.0014873357102283453,1.8352365409405765e-06,0.00135470902445528,0.998,7.500000000000069e-06,0.0027386127875258432
260,0.36134261121658046,7.962688490453009e-05,0.008923389765359916,0.05650433964759492,9.780253685337733e-05,0.00988951651261968,315.0238473995123,996.1727996589341,31.562205240745364,260.0,0.0,0.0,0.08166723067886583,5.835297466602306e-05,0.007638911877095,1.3823444482526565e-05,5.495679637994242e-12,2.3442865946795504e-06,1.872214926178283e-05,1.0327834897299403e-11,3.2136948979794897e-06,0.002013580094464144,5.036046777180891e-06,0.0022441138066463767,0.9949999999999999,4.999999999999978e-05,0.00707106781186546
310,0.4010472388636539,8.57879245088339e-05,0.009262177093363844,0.058310272611107314,0.00023726765365187757,0.015403494851879477,339.6842134995386,4584.545755287104,67.70927377610178,310.0,0.0,0.0,0.0827194859831053,0.00014301958760297814,0.011959079713881755,1.4443258783165158e-05,1.344390838434493e-11,3.6665935668335168e-06,1.947671149429475e-05,2.4905369976212002e-11,4.99052802579166e-06,0.0007485230263096176,3.540026297226443e-07,0.0005949812011506282,0.9949999999999999,0.0001250000000000002,0.011180339887498957
360,0.4354365423727657,0.00020065125570658765,0.014165142276256445,0.05330127308265442,1.5237722137619825e-05,0.0039035525022240733,354.1978028982412,371.02604634428906,19.26203640180054,360.0,0.0,0.0,0.07952556964600438,8.991281267097142e-06,0.0029985465257516253,1.343509606436565e-05,7.481060958737414e-13,8.64931266560379e-07,1.809436031393354e-05,1.5246530888372689e-12,1.2347684353097421e-06,0.0004459083524824128,3.149446388988003e-10,1.774667965842626e-05,1.0,0.0,0.0
410,0.47344900029990233,0.00021938344108793584,0.014811598194926024,0.05962525517370896,9.543131351436455e-05,0.009768895204390542,106.6471163011156,97.54442966317006,9.87645835627175,410.0,0.0,0.0,0.08416869865978295,5.597988425415011e-05,0.007481970613023691,1.5078061801694232e-05,4.602898186117314e-12,2.1454365956879997e-06,2.0032120478497605e-05,9.485649827492765e-12,3.0798782163411536e-06,0.0005200117554905297,1.0319912731341108e-09,3.2124620980396186e-05,1.0,0.0,0.0
460,0.5129009961173152,0.00017853982623034797,0.013361879591971632,0.05707102272476751,4.2172927520817565e-05,0.006494068641523399,101.32485910132527,60.546789273629166,7.781181740174764,460.0,0.0,0.0,0.08244101853850748,2.570578425252288e-05,0.005070087203640868,1.4654198428422364e-05,1.996260903156915e-12,1.4128909735563162e-06,1.9153685489130453e-05,4.394698074123971e-12,2.096353518403795e-06,0.0005284045662817237,1.7904487286540833e-09,4.231369433946986e-05,1.0,0.0,0.0
