K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
10,0,0.19267449583302312,0.3200602010136767,3.643359146877099e-05,4.7869415988810556e-05,60.47807699884288,290.44296590076976,76.16753019392488,0.30004183118472905,0.0002109532839285785,0.2575363850788557,0.28284829556631075,2.6259640180708907,3.834361727372665,11.589803594226407,10.0,0.0,10.0,10.0,0.555,89.0
10,1,0.1850199811048804,0.30776503339567834,3.515755350234179e-05,4.629401344632771e-05,57.463090509409085,187.12602457378497,69.70245498232543,0.2992634152077063,0.0002413456157072246,0.25777582894350765,0.28284829556631075,2.7816677825606133,3.7873399963090537,9.63177391141074,10.0,0.0,10.0,10.0,0.605,79.0
10,2,0.17082128847260852,0.2829141516303666,3.240981624579199e-05,4.335742163969491e-05,55.81259350175969,248.29558093093146,71.25555515522137,0.30037365274744987,0.00019028419801529772,0.26454871763506554,0.28284829556631075,3.1445791511445425,4.424630945867674,10.081012824672005,10.0,0.0,10.0,10.0,0.615,77.0
10,3,0.18700450161342447,0.3081783369725177,3.6045868597534337e-05,4.84789501496483e-05,63.572145499056205,422.4477786735882,96.01553499232973,0.3006430981515564,0.00017954663305260618,0.2636640523194207,0.28284829556631075,2.4303882715100964,2.679851366438282,10.122061955288483,10.0,0.0,10.0,10.0,0.61,78.0
10,4,0.17823015047423732,0.3030776549323114,3.332028101283421e-05,4.4396297426922765e-05,60.054895494831726,336.1307414061365,80.70236492203549,0.3004166586517652,0.00020029878403118398,0.2691123438960803,0.28284829556631075,3.0683862064754797,3.9492657295556377,9.702983403007817,10.0,0.0,10.0,10.0,0.635,73.0
60,0,0.06772847233509939,0.0402283379406353,9.664589073273402e-06,1.3150744388095824e-05,141.0669935005717,3322.3526224301395,210.15667495084926,0.17580810909145952,0.00018160797725700305,0.1417278277528059,0.15822529119381853,0.0003099820833230906,4.570828304196271e-07,0.006062944699263131,60.0,0.0,60.0,60.0,0.97,6.0
60,1,0.062148793390563666,0.03389968070007643,8.404592162598263e-06,1.1393548495729493e-05,138.93123348942026,3228.522308570192,201.33238508133215,0.17762769777842205,0.0001854748365313629,0.1405083392323661,0.1590663788886049,0.0002144581355050476,2.8042754228093558e-08,0.001486621210990831,60.0,0.0,60.0,60.0,0.99,2.0
60,2,0.05319918345620784,0.026248776653173125,6.452886319072069e-06,8.7115770689125e-06,150.73829649947584,2994.313554672848,206.0756749822758,0.17901999440243427,0.0001665821065549071,0.14581986190719562,0.1609541813916617,0.00024257850549319948,1.1136237517163068e-07,0.003196906843329318,60.0,0.0,60.0,60.0,0.98,4.0
60,3,0.08043752439340983,0.05591580731155263,1.2708385866763063e-05,1.738196341260332e-05,144.05756499269046,3103.348725481231,223.3047350542618,0.17435721457855244,0.0001915849435084979,0.12364359557735684,0.15726152782905925,0.00026672739906209914,2.0957110568290658e-07,0.005489059436449138,60.0,0.0,60.0,60.0,0.98,4.0
60,4,0.05506737359853106,0.02759312143523403,7.224843002811774e-06,9.608313866577766e-06,158.21358050219715,3742.691115079518,234.41780008142803,0.17812713495287585,0.00017912443408582869,0.12666186865069276,0.16155010538627732,0.0003975398029795281,4.95323477485427e-06,0.0313542634717345,60.0,0.0,60.0,60.0,0.965,7.0
110,0,0.06345519145845167,0.035727831887103746,8.56430444285103e-06,1.1649867618706507e-05,229.27759200218134,12499.498627649811,394.62207483593374,0.3150421261268215,0.0003229691513406211,0.22408599876807037,0.29263489471972254,0.00018610994257205936,1.4548569297575597e-07,0.004896488018086179,110.0,0.0,110.0,110.0,0.98,4.0
110,1,0.056311316109031354,0.028307296071763105,7.129753030955208e-06,9.580096533352175e-06,240.70986448787153,13867.930667122468,387.8584699705243,0.3148489766804024,0.00028407413324237047,0.21764697356755705,0.2939025933296475,0.00035388641502408463,1.81695552498856e-06,0.014926141820888849,110.0,0.0,110.0,110.0,0.945,11.0
110,2,0.06571267001075021,0.03805669309327853,8.860909862496884e-06,1.2094862950686213e-05,234.79874200653285,13872.70120128757,396.3299348251894,0.31366775419584314,0.00031120432940848967,0.21806840272096567,0.2942873361743814,0.00023498433273143573,2.9266502629722126e-07,0.007011918473930916,110.0,0.0,110.0,110.0,0.955,9.0
110,3,0.06131129020796228,0.033747880122680186,7.894142670938548e-06,1.065526592741494e-05,241.7451020050794,12408.861496971971,403.16346997860813,0.3118299126102784,0.00036971289910153797,0.21354538034254622,0.2855173831420136,0.00021367637592453745,1.4328688283052438e-07,0.0032619702667683473,110.0,0.0,110.0,110.0,0.965,7.0
110,4,0.0708599620981598,0.043241153340463634,1.0187002133110003e-05,1.3917449933216263e-05,214.1648940066807,12990.339718079269,395.2432150021195,0.3109566911741764,0.00030861769675813444,0.20499989094799156,0.29218212339094,0.000215596347415271,2.7812028876703565e-07,0.006430282747786922,110.0,0.0,110.0,110.0,0.975,5.0
160,0,0.06584908634648359,0.037652412957758515,9.085404967641976e-06,1.230535362589739e-05,317.5595610018354,20067.433334728707,565.0574051309377,0.4200345266616188,0.0004476772955423522,0.27997776876205455,0.3988136345416289,0.0001249145398539556,1.19283491425503e-08,0.0013988737574281143,160.0,0.0,160.0,160.0,0.995,1.0
160,1,0.0611773145426061,0.032757592210169634,8.06628767393916e-06,1.0780160770375884e-05,323.16845800261945,22415.396201885145,556.0511899646372,0.4180824047204526,0.00046778249861133915,0.2580192347222334,0.3972773581141857,0.00012489821078175134,1.0525868807814689e-08,0.0008678700013293779,160.0,0.0,160.0,160.0,1.0,0.0
160,2,0.07133993785027434,0.04387101444102753,1.0290535243857831e-05,1.3928423488519474e-05,316.5487029973883,22857.112495751968,590.4874849831684,0.41772735706102126,0.00048671629084277683,0.2684647547571036,0.3937126775610703,0.0001270811604992445,7.347290427109306e-09,0.0007430926694169974,160.0,0.0,160.0,160.0,1.0,0.0
160,3,0.07727816879194274,0.051107509936297285,1.1912669004398175e-05,1.6229235718514454e-05,297.56308199604973,18583.83985559308,550.1374299521557,0.41576299959218305,0.0006686235488774873,0.26725814368495715,0.3878873540992867,0.00012724923037921686,5.597350955169874e-09,0.0005460599245023434,160.0,0.0,160.0,160.0,1.0,0.0
160,4,0.07514123885831442,0.04797557521032289,1.1433119879601577e-05,1.5585401884129478e-05,297.7110075124074,17786.610984826893,538.9015101944095,0.41745556974347614,0.0005708599433784034,0.27290873466189575,0.39150092817071036,0.00012682285783875425,3.791019323125393e-09,0.0004871364679891159,160.0,0.0,160.0,160.0,1.0,0.0
210,0,0.07627780994943803,0.04943417025441975,1.1853876889513668e-05,1.606995166945714e-05,273.145266501233,14364.75228418617,473.6353849759324,0.5174206098408283,0.000762280436519599,0.320936321761616,0.4822716459990232,0.00011881159796740859,6.331200802364707e-09,0.0007525720777653089,210.0,0.0,210.0,210.0,1.0,0.0
210,1,0.0655663944911356,0.03708274445737097,9.304304230068425e-06,1.2450630024829166e-05,273.23504799278453,14715.08468399461,488.1608801078981,0.526379386616293,0.000528859804004337,0.32409793536743287,0.5022719521259116,0.00011152960664707529,3.916683815700235e-09,0.00046375335528691747,210.0,0.0,210.0,210.0,1.0,0.0
210,2,0.07904122816075068,0.05312373800705488,1.2616310053496152e-05,1.7140599453226707e-05,250.66305799642578,13099.633673240613,483.05515490937944,0.5183139012982972,0.0007655615058585106,0.3211110774371472,0.48522642194600846,0.00011861383085371356,5.295412464948469e-09,0.000549035361138982,210.0,0.0,210.0,210.0,1.0,0.0
210,3,0.07946668553551912,0.053689911893327044,1.2668278096848533e-05,1.7246678582378606e-05,267.8322515031323,16135.462080983672,487.6991199562326,0.5147972487998485,0.0009119488643974099,0.3207794114361023,0.47923615956923277,0.00012843076659264027,2.3591848736492565e-08,0.0020492145213651773,210.0,0.0,210.0,210.0,0.995,1.0
210,4,0.07327031319151057,0.04556151622078385,1.128860502245216e-05,1.5246686895906822e-05,285.2355545060709,19183.549876580077,556.4223199966356,0.5184175498026226,0.0007565868983672967,0.3216635018111633,0.4871129640599898,0.0001307892447647671,6.422255202149735e-08,0.0036221032355853405,210.0,0.0,210.0,210.0,0.995,1.0
260,0,0.07922760510261251,0.052964278449110364,1.2864094787512668e-05,1.7524496224410507e-05,286.70268251094967,20503.91135058469,572.0220950664951,0.600898475711984,0.0013194403264792953,0.36809663329208964,0.5536877883031922,0.00013281198922533935,6.054277535521234e-08,0.0029825196850333975,260.0,0.0,260.0,260.0,0.99,2.0
260,1,0.07042587895024896,0.042195819258364284,1.0635854307563547e-05,1.4247472691263162e-05,287.7157020033337,25304.577882499183,614.8092801216984,0.6097341872213143,0.0009891595075879878,0.3532058117380208,0.5684860955905426,0.00015113044248174945,2.0523204618972072e-07,0.005543330122126293,260.0,0.0,260.0,260.0,0.985,3.0
260,2,0.08161799072617583,0.05632162038848734,1.3670388776995333e-05,1.8503874297768733e-05,314.776256486075,27388.974025203148,632.6748348772524,0.6038610353708233,0.0011523353196919864,0.3535098434253619,0.5634792195959044,0.0001134706438710702,4.898458587461143e-09,0.0005129356782183635,260.0,0.0,260.0,260.0,1.0,0.0
260,3,0.0866843296374247,0.06313807204623098,1.5069775139241104e-05,2.0559078571405917e-05,322.0375200069975,33337.48223089726,688.1953848875128,0.597498312623925,0.00114365085908866,0.37312212808489503,0.5535353366235043,0.00011432181548893948,4.433054111120559e-09,0.0005062888724871703,260.0,0.0,260.0,260.0,1.0,0.0
