method,x,sigma_min_Ag,localness,slack_max,kkt_max,rmse_ee,success_rate,total_cost,jerk_sum_sq
adaptive_rho,0.1,1.449226414161568e-05,1.2144742487580964,0.014564741698609879,20056785.663657285,0.05779702158948815,0.0,0.029091411869127646,nan
adaptive_rho,0.2,2.71747264344476e-07,1.2868041180367737,0.03927278107737428,20053329.3959007,0.05326383151152017,0.0,0.025473124289455133,nan
adaptive_rho,0.3,2.71747264344476e-07,1.3148845914919665,0.003266066709407623,20053329.3959007,0.05268617421422368,0.0,0.02509360721186198,nan
adaptive_rho,0.4,2.71747264344476e-07,1.3566227551122176,0.007573224671153762,20053329.3959007,0.05449763293584127,0.0,0.026797199487933732,nan
adaptive_rho,0.5,2.71747264344476e-07,1.4376031958447408,0.005053566955438524,20053329.3959007,0.05294660998215029,0.8,0.02551305688988455,nan
adaptive_rho,0.6,2.71747264344476e-07,1.5276151515484389,0.0014399408483048745,20053329.3959007,0.051674205555440965,1.0,0.02449628314168735,nan
adaptive_rho,0.7,2.6448604973676765e-07,1.5409324246801908,0.0016961910457326233,20051807.88549077,0.04877550307860099,1.0,0.021852303047834174,nan
adaptive_rho,0.8,2.6448604973676765e-07,1.5365794060459095,0.0016961910457326233,20051807.88549077,0.04812526628426825,1.0,0.022018398412362278,nan
adaptive_rho,0.9,2.6448604973676765e-07,1.5330098672736225,0.0022406248109435355,20051807.88549077,0.047501315381339296,1.0,0.021526965757739297,nan
adaptive_rho,1.0,2.6448604973676765e-07,1.552862199860436,0.003463912844817485,20051807.88549077,0.04793139969583016,1.0,0.021485566506275748,nan
