seed,method,K,fail_practical,infeasible_step_rate,fallback_episode,mean_solve_time,mean_K_used,max_K_used,success,reached,fall_down
8,fixedK80,80,1,0.7633333333333333,1,0.21645733137665654,80.0,80.0,1,1,0
8,unified_a001,40,1,0.7766666666666666,1,0.18438766148998031,71.18333333333334,80.0,1,1,0
9,fixedK30,30,1,0.9966666666666667,1,0.09884905654667364,30.0,30.0,0,1,1
9,fixedK40,40,1,0.9,1,0.134661251086665,40.0,40.0,1,1,0
9,fixedK50,50,1,0.9133333333333333,1,0.14981997724666446,50.0,50.0,1,1,0
9,fixedK60,60,1,0.8233333333333334,1,0.16282077655999727,60.0,60.0,1,1,0
9,fixedK70,70,1,0.9266666666666666,1,0.16830915389000742,70.0,70.0,0,1,1
9,fixedK80,80,1,0.9066666666666666,1,0.22960385031333316,80.0,80.0,1,1,0
9,unified_a001,40,1,0.8566666666666667,1,0.18331039043334083,65.96666666666667,75.0,1,1,0
10,fixedK30,30,1,0.9766666666666667,1,0.11203323209332969,30.0,30.0,1,1,0
10,fixedK40,40,1,0.85,1,0.12988551444999302,40.0,40.0,1,1,0
10,fixedK50,50,1,0.7766666666666666,1,0.13802865291000066,50.0,50.0,1,1,0
10,fixedK60,60,1,0.8266666666666667,1,0.1670487998333283,60.0,60.0,1,1,0
10,fixedK70,70,1,0.74,1,0.17897284650667644,70.0,70.0,1,1,0
10,fixedK80,80,1,0.5466666666666666,1,0.21027732155002013,80.0,80.0,1,1,0
10,unified_a001,40,1,0.7633333333333333,1,0.17754522877999837,68.46666666666667,80.0,1,1,0
11,fixedK30,30,1,0.89,1,0.11028190786664406,30.0,30.0,1,1,0
11,fixedK40,40,1,0.8033333333333333,1,0.12658239151333872,40.0,40.0,1,1,0
11,fixedK50,50,1,0.8266666666666667,1,0.1423772044366812,50.0,50.0,1,1,0
11,fixedK60,60,1,0.8866666666666667,1,0.16612101809666002,60.0,60.0,1,1,0
11,fixedK70,70,1,0.7433333333333333,1,0.17650046487667623,70.0,70.0,1,1,0
11,fixedK80,80,1,0.71,1,0.2128888813833252,80.0,80.0,1,1,0
11,unified_a001,40,1,0.81,1,0.1738787033400043,67.55,75.0,1,1,0
12,fixedK30,30,1,0.9066666666666666,1,0.11298280879000534,30.0,30.0,1,1,0
12,fixedK40,40,1,0.8366666666666667,1,0.12734171154333276,40.0,40.0,1,1,0
12,fixedK50,50,1,0.8566666666666667,1,0.1483067276166806,50.0,50.0,1,1,0
12,fixedK60,60,1,0.88,1,0.17937908083001125,60.0,60.0,1,1,0
12,fixedK70,70,1,0.84,1,0.192614834343323,70.0,70.0,1,1,0
12,fixedK80,80,1,0.6733333333333333,1,0.2036636475233369,80.0,80.0,1,1,0
12,unified_a001,40,1,0.87,1,0.18033462581332516,65.85,75.0,1,1,0
13,fixedK30,30,1,0.8833333333333333,1,0.10916765112665872,30.0,30.0,1,1,0
13,fixedK40,40,1,0.9266666666666666,1,0.13531488611333317,40.0,40.0,1,1,0
13,fixedK50,50,1,0.8833333333333333,1,0.1553343458000048,50.0,50.0,1,1,0
13,fixedK60,60,1,0.7666666666666667,1,0.16193549138328914,60.0,60.0,1,1,0
13,fixedK70,70,1,0.8233333333333334,1,0.18316700707666617,70.0,70.0,1,1,0
13,fixedK80,80,1,0.8366666666666667,1,0.20453229153997501,80.0,80.0,1,1,0
13,unified_a001,40,1,0.8,1,0.18349278943668043,67.06666666666666,75.0,1,1,0
14,fixedK30,30,1,0.9933333333333333,1,0.10761623417999241,30.0,30.0,1,1,0
14,fixedK40,40,1,0.9033333333333333,1,0.12941798596999432,40.0,40.0,1,1,0
14,fixedK50,50,1,0.7466666666666667,1,0.1470509276066514,50.0,50.0,1,1,0
14,fixedK60,60,1,0.7666666666666667,1,0.16532758081665633,60.0,60.0,1,1,0
14,fixedK70,70,1,0.78,1,0.18026007584329515,70.0,70.0,1,1,0
14,fixedK80,80,1,0.6666666666666666,1,0.20431846650999735,80.0,80.0,1,1,0
14,unified_a001,40,1,0.74,1,0.18273397777667622,69.08333333333333,85.0,1,1,0
15,fixedK30,30,1,0.9833333333333333,1,0.1104857995000081,30.0,30.0,1,1,0
15,fixedK40,40,1,0.8433333333333334,1,0.13050899930001833,40.0,40.0,1,1,0
15,fixedK50,50,1,0.82,1,0.14886684114334459,50.0,50.0,1,1,0
15,fixedK60,60,1,0.96,1,0.16657313764334808,60.0,60.0,0,1,1
15,fixedK70,70,1,0.9233333333333333,1,0.1764999484866803,70.0,70.0,0,1,1
15,fixedK80,80,1,0.94,1,0.24365111513001161,80.0,80.0,1,1,0
15,unified_a001,40,1,0.7966666666666666,1,0.17177792501333594,68.73333333333333,85.0,1,1,0
16,fixedK30,30,1,0.98,1,0.10891084334003305,30.0,30.0,1,1,0
16,fixedK40,40,1,0.8466666666666667,1,0.1308416194500114,40.0,40.0,1,1,0
16,fixedK50,50,1,0.8333333333333334,1,0.1418188159399536,50.0,50.0,1,1,0
16,fixedK60,60,1,0.8333333333333334,1,0.15231573346331365,60.0,60.0,1,1,0
