sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,local_min_cands,local_max_cands,clamp_reason
0.05,3,unified_a001,1,1,0,53,-1,0.11929663181666607,52.61666666666667,90.0,1.0,10.858657578129662,62.46865474413755,577.0,100,1000,none
0.05,4,fixedK40,0,1,1,61,170,0.09069493609333829,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,4,unified_a001,1,1,0,100,-1,0.1021000813563776,44.52127659574468,75.0,1.0,25.000244659138506,70.02438550293903,577.0,100,1000,none
0.05,5,fixedK40,0,1,1,68,234,0.09427350210666646,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,5,unified_a001,0,1,1,60,171,0.10942642875000577,46.2,85.0,1.0,18.014690922205236,65.86354347448845,577.0,100,1000,none
0.05,6,fixedK40,0,1,1,59,137,0.09942594525999462,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,6,unified_a001,0,1,1,66,204,0.10586572655333763,46.166666666666664,80.0,1.0,21.053336037399234,67.2578165794885,577.0,100,1000,none
0.05,7,fixedK40,0,1,1,167,250,0.08692924509999936,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,7,unified_a001,1,1,0,57,-1,0.12707005999332902,53.13333333333333,80.0,1.0,13.675999077329799,61.12319846011858,577.0,100,1000,none
0.05,8,fixedK40,0,1,1,72,196,0.09250798510000702,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,8,unified_a001,0,1,1,86,201,0.10173972778333489,46.06666666666667,75.0,1.0,21.787786246510187,68.12348116201152,577.0,100,1000,none
0.05,9,fixedK40,1,1,0,52,-1,0.09743367844999663,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,9,unified_a001,0,1,1,65,172,0.10832334127332084,46.8,80.0,1.0,20.30499821430754,67.06619569439819,577.0,100,1000,none
0.05,10,fixedK40,1,1,0,220,-1,0.08606380168000062,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,10,unified_a001,0,1,1,53,172,0.09941898943999149,45.0,85.0,1.0,18.931288454152412,68.94697040639764,577.0,100,1000,none
0.05,11,fixedK40,0,1,1,51,117,0.08296247707666528,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,11,unified_a001,1,1,0,77,-1,0.12336710310333729,52.0,80.0,1.0,14.553008821141624,61.096850217916426,577.0,100,1000,none
0.05,12,fixedK40,1,1,0,67,-1,0.10053083677667474,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,12,unified_a001,1,1,0,71,-1,0.11551228126332944,49.25,80.0,1.0,16.590876150046473,63.58305933561318,577.0,100,1000,none
0.05,13,fixedK40,0,1,1,68,248,0.09397362889666662,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,13,unified_a001,0,1,1,71,186,0.11305408058333873,49.3,80.0,1.0,20.996663744487545,67.4763241710281,577.0,100,1000,none
0.05,14,fixedK40,1,1,0,57,-1,0.10050427121999594,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,14,unified_a001,1,1,0,70,-1,0.12313739417000003,53.95,85.0,1.0,14.044328026130287,62.539124016237935,577.0,100,1000,none
0.05,15,fixedK40,0,0,0,300,-1,0.0843719715066815,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,15,unified_a001,0,0,0,300,-1,0.09213410544332873,41.13333333333333,70.0,1.0,30.352634938345545,75.268110910942,577.0,100,1000,none
0.05,16,fixedK40,1,1,0,142,-1,0.09620202921000631,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,16,unified_a001,0,1,1,74,123,0.09890554423436033,44.140625,70.0,1.0,24.437075794103645,71.49818775846923,577.0,100,1000,none
0.05,17,fixedK40,1,1,0,59,-1,0.0969205383333186,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,17,unified_a001,0,0,0,300,-1,0.08005725665875688,40.79365079365079,70.0,1.0,32.64899739594066,79.9812590077964,577.0,100,1000,none
0.05,18,fixedK40,0,1,1,139,189,0.08941488898665284,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,18,unified_a001,1,1,0,138,-1,0.11280697415000608,49.53333333333333,85.0,1.0,19.550604532483646,66.48107614301598,577.0,100,1000,none
0.05,19,fixedK40,1,1,0,217,-1,0.09152969335000004,40.0,40.0,nan,nan,nan,nan,100,1000,
0.05,19,unified_a001,1,1,0,85,-1,0.11574543017000148,51.8,85.0,1.0,17.297699307229355,63.38641685903617,577.0,100,1000,none
0.08,0,fixedK40,0,1,1,92,158,0.08039631679333979,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,0,unified_a001,1,1,0,71,-1,0.104029078143332,47.9,85.0,1.0,12.522366832973866,64.07035106766362,577.0,100,1000,none
0.08,1,fixedK40,0,0,0,300,-1,0.08541829257457911,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,1,unified_a001,1,1,0,171,-1,0.0798237951581916,40.706214689265536,75.0,1.0,32.042630885568514,76.13968634351002,577.0,100,1000,none
0.08,2,fixedK40,0,1,1,230,253,0.08259744860332982,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,2,unified_a001,0,1,1,63,88,0.0804889991500022,40.96666666666667,75.0,1.0,28.05870422880255,75.42256627690217,577.0,100,1000,none
0.08,3,fixedK40,0,0,0,300,-1,0.07662651541336496,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,3,unified_a001,1,1,0,51,-1,0.1247566965399892,52.88333333333333,75.0,1.0,13.462057113659519,61.04916690622492,577.0,100,1000,none
0.08,4,fixedK40,1,1,0,99,-1,0.09740959057998831,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,4,unified_a001,0,1,1,66,124,0.09816351388999768,44.38333333333333,85.0,1.0,25.109521704343365,70.39996564025824,577.0,100,1000,none
0.08,5,fixedK40,0,0,0,300,-1,0.08049828581395263,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,5,unified_a001,1,1,0,212,-1,0.09536968086333976,45.28333333333333,80.0,1.0,25.374081066380334,72.94664636950962,577.0,100,1000,none
0.08,6,fixedK40,0,1,1,64,266,0.09430073779000092,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,6,unified_a001,0,1,1,59,280,0.10724305107333142,47.06666666666667,80.0,1.0,15.395535568648492,63.5109734837187,577.0,100,1000,none
0.08,7,fixedK40,1,1,0,72,-1,0.0965769732000111,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,7,unified_a001,0,1,1,113,127,0.09344291041997925,43.68333333333333,80.0,1.0,21.024330988462413,68.73192390997664,577.0,100,1000,none
0.08,8,fixedK40,1,1,0,133,-1,0.09120528982399265,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,8,unified_a001,0,1,1,64,206,0.10782940415901333,45.618374558303884,75.0,1.0,22.135393100569118,67.65602605052172,577.0,100,1000,none
0.08,9,fixedK40,1,1,0,53,-1,0.09847536887999316,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,9,unified_a001,0,1,1,206,221,0.08051106926332978,41.2,80.0,1.0,29.614921532403873,77.87246456711186,577.0,100,1000,none
0.08,10,fixedK40,1,1,0,243,-1,0.08204213736333865,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,10,unified_a001,1,1,0,284,-1,0.0849015604433195,42.13333333333333,85.0,1.0,29.14076693510659,74.14776283701099,577.0,100,1000,none
0.08,11,fixedK40,0,1,1,90,176,0.09102837614136818,40.0,40.0,nan,nan,nan,nan,100,1000,
