sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.02,20,unified_a001,0,1,1,68,178,0.10538074276332964,46.61666666666667,75.0,1.0,20.745236759345847,68.66026338093772,577.0,0.48333333333333334,116,1,100,1000
0.02,21,fixedK40,1,1,0,66,-1,0.10224327499999541,40.0,40.0,nan,nan,nan,nan,0.8433333333333334,253,0,100,1000
0.02,21,unified_a001,0,1,1,202,267,0.09383163360333203,43.46666666666667,75.0,1.0,25.559991090352074,73.09318290654767,577.0,0.30333333333333334,75,2,100,1000
0.02,22,fixedK40,0,1,1,97,165,0.09249691171783182,40.0,40.0,nan,nan,nan,nan,0.44554455445544555,79,3,100,1000
0.02,22,unified_a001,0,1,1,68,184,0.11197926108667312,50.1,85.0,1.0,15.800749786467101,64.99323145286246,577.0,0.6633333333333333,127,1,100,1000
0.02,23,fixedK40,0,1,1,90,197,0.09436760458999743,40.0,40.0,nan,nan,nan,nan,0.5066666666666667,118,3,100,1000
0.02,23,unified_a001,0,1,1,57,145,0.09603494654666823,43.65,85.0,1.0,22.751517281871227,71.28825859239787,577.0,0.36,99,2,100,1000
0.02,24,fixedK40,0,1,1,82,241,0.09726687066332185,40.0,40.0,nan,nan,nan,nan,0.6266666666666667,127,2,100,1000
0.02,24,unified_a001,0,1,1,68,132,0.0938188262466762,43.53333333333333,95.0,1.0,24.715476791173398,73.79384868030485,577.0,0.2633333333333333,74,1,100,1000
0.02,25,fixedK40,1,1,0,234,-1,0.08513500094666825,40.0,40.0,nan,nan,nan,nan,0.36333333333333334,85,2,100,1000
0.02,25,unified_a001,0,1,1,67,171,0.1107957043433324,49.06666666666667,90.0,1.0,20.455470887448666,66.94751884528252,577.0,0.6133333333333333,114,3,100,1000
0.02,26,fixedK40,0,1,1,74,212,0.0956295598466727,40.0,40.0,nan,nan,nan,nan,0.5266666666666666,149,2,100,1000
0.02,26,unified_a001,0,1,1,55,64,0.0981323592899965,44.75,85.0,1.0,25.17350108351902,71.88915266741577,577.0,0.31666666666666665,75,1,100,1000
0.02,27,fixedK40,1,1,0,59,-1,0.10165027641666712,40.0,40.0,nan,nan,nan,nan,0.8666666666666667,260,0,100,1000
0.02,27,unified_a001,1,1,0,122,-1,0.11651972554999475,53.15,80.0,1.0,16.650983985798295,67.04267061462353,577.0,0.6566666666666666,197,0,100,1000
0.02,28,fixedK40,1,1,0,72,-1,0.09990924568667121,40.0,40.0,nan,nan,nan,nan,0.8233333333333334,247,0,100,1000
0.02,28,unified_a001,1,1,0,217,-1,0.10593258976000167,47.86666666666667,80.0,1.0,23.67216347105709,69.0820302420987,577.0,0.44333333333333336,102,2,100,1000
0.02,29,fixedK40,1,1,0,68,-1,0.10188743511999367,40.0,40.0,nan,nan,nan,nan,0.81,243,1,100,1000
0.02,29,unified_a001,1,1,0,73,-1,0.13798963847000476,61.083333333333336,85.0,1.0,12.47751299056641,60.29454450556177,577.0,0.82,246,0,100,1000
