scenario,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used
unseen,13,unified_a001,1,1,0,19,-1,0.15778907943000225,57.8,85.0
unseen,14,fixedK40,1,1,0,19,-1,0.11240439999332162,40.0,40.0
unseen,14,unified_a001,0,1,1,19,194,0.13054592153664998,46.983333333333334,80.0
unseen,15,fixedK40,0,1,1,19,93,0.11955497247667608,40.0,40.0
unseen,15,unified_a001,0,1,1,19,109,0.1440965398933243,50.266666666666666,85.0
unseen,16,fixedK40,0,1,1,19,122,0.11932997432998642,40.0,40.0
unseen,16,unified_a001,1,1,0,19,-1,0.15225982125335122,52.93333333333333,80.0
unseen,17,fixedK40,1,1,0,19,-1,0.1244338179200122,40.0,40.0
unseen,17,unified_a001,1,1,0,19,-1,0.1619972148299985,55.333333333333336,85.0
unseen,18,fixedK40,1,1,0,19,-1,0.12240928929333222,40.0,40.0
unseen,18,unified_a001,1,1,0,19,-1,0.14763539972665968,54.45,90.0
unseen,19,fixedK40,1,1,0,98,-1,0.11811401326333604,40.0,40.0
unseen,19,unified_a001,1,1,0,19,-1,0.15078161953000896,55.016666666666666,90.0
