scenario,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used
unseen,13,unified_a001,1,1,0,19,-1,0.13237711848999878,54.833333333333336,80.0
unseen,14,fixedK40,0,1,1,19,135,0.09065831142666866,40.0,40.0
unseen,14,unified_a001,1,1,0,32,-1,0.11393672912000359,49.516666666666666,85.0
unseen,15,fixedK40,0,1,1,19,123,0.10130664667999553,40.0,40.0
unseen,15,unified_a001,0,1,1,19,156,0.1028667798633281,47.03333333333333,85.0
unseen,16,fixedK40,1,1,0,19,-1,0.10343426000000212,40.0,40.0
unseen,16,unified_a001,0,1,1,19,138,0.1015166465033235,46.28333333333333,75.0
unseen,17,fixedK40,0,1,1,19,149,0.09390713759998107,40.0,40.0
unseen,17,unified_a001,0,1,1,19,260,0.11634927693999847,48.56666666666667,75.0
unseen,18,fixedK40,1,1,0,232,-1,0.08754411495342587,40.0,40.0
unseen,18,unified_a001,0,1,1,19,84,0.10802657554332049,48.06666666666667,80.0
unseen,19,fixedK40,1,1,0,19,-1,0.10330679750664483,40.0,40.0
unseen,19,unified_a001,0,1,1,19,114,0.10722738803665834,46.56666666666667,85.0
